name,sequence,file,platform,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,spatialized,type,probability,loop,masterslave,loadspec,reverb_falloff_curve,subtitle,compression,randomize_type,secondaryaliasname,chainaliasname,volumefalloffcurve,probability,startdelay,speakermap,reverb_send,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,occlusion_level,real_delay,distance_lpf,min_priority,max_priority,min_priority_threshold,max_priority_threshold,doppler
mx_match_end,,Stream\Music\mp\campaign\mx_match_ending_jp.wav,,0.6,0.6,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_underscore,,Stream\Music\Mission\oki3\mx_underscore.wav,,0.22,0.22,1,1,,,,,,,,music,2d,streamed,,looping,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# SPAWN MUSIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# US/Japanese Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mp_spawn_japanese,1,Stream\Music\mp\spawn\ja_spawn_castle.wav,,0.65,0.65,1,1,,,,,,,,music,2d,streamed,,,,mp_castle mp_courtyard,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_spawn_japanese,2,Stream\Music\mp\spawn\ja_spawn_jungle.wav,,0.65,0.65,1,1,,,,,,,,music,2d,streamed,,,,mp_makin mp_shrine,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_spawn_japanese,3,Stream\Music\mp\spawn\ja_spawn_airfield.wav,,0.65,0.65,1,1,,,,,,,,music,2d,streamed,,,,mp_airfield mp_hangar mp_beachhead,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_spawn_usa,1,Stream\Music\mp\spawn\ja_spawn_castle.wav,,0.65,0.65,1,1,,,,,,,,music,2d,streamed,,,,mp_castle mp_courtyard,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_spawn_usa,2,Stream\Music\mp\spawn\ja_spawn_jungle.wav,,0.65,0.65,1,1,,,,,,,,music,2d,streamed,,,,mp_makin mp_shrine,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_spawn_usa,3,Stream\Music\mp\spawn\ja_spawn_airfield.wav,,0.65,0.65,1,1,,,,,,,,music,2d,streamed,,,,mp_airfield mp_hangar mp_beachhead,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Russian/German Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mp_spawn_german,1,Stream\Music\mp\spawn\ru_spawn_night.wav,,0.65,0.65,1,1,,,,,,,,music,2d,streamed,,,,mp_nachtfeuer mp_dome,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_spawn_german,2,Stream\Music\mp\spawn\ru_spawn_tension.wav,,0.65,0.65,1,1,,,,,,,,music,2d,streamed,,,,mp_asylum mp_roundhouse mp_downfall,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_spawn_german,3,Stream\Music\mp\spawn\ru_spawn_light.wav,,0.65,0.65,1,1,,,,,,,,music,2d,streamed,,,,mp_outskirts mp_seelow mp_suburban,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_spawn_soviet,1,Stream\Music\mp\spawn\ru_spawn_night.wav,,0.65,0.65,1,1,,,,,,,,music,2d,streamed,,,,mp_nachtfeuer mp_dome,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_spawn_soviet,2,Stream\Music\mp\spawn\ru_spawn_tension.wav,,0.65,0.65,1,1,,,,,,,,music,2d,streamed,,,,mp_asylum mp_roundhouse mp_downfall,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_spawn_soviet,3,Stream\Music\mp\spawn\ru_spawn_light.wav,,0.65,0.65,1,1,,,,,,,,music,2d,streamed,,,,mp_outskirts mp_seelow mp_suburban,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CTF  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# FLAG TAKEN ,,Plays when the flag is removed from base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_CTF_taken_us,,Stream\Music\mp\CTF\mx_ctf_taken_am.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_CTF_taken_ru,,Stream\Music\mp\CTF\mx_ctf_taken_rs.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_CTF_taken_ja,,Stream\Music\mp\CTF\mx_ctf_taken_jp.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_CTF_taken_ge,,Stream\Music\mp\CTF\mx_ctf_taken_ge.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# FLAG RETURN,,Plays when the flag is returned to base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_CTF_return_us,,Stream\Music\mp\CTF\mx_ctf_return_am.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_CTF_return_ru,,Stream\Music\mp\CTF\mx_ctf_return_rs.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_CTF_return_ja,,Stream\Music\mp\CTF\mx_ctf_return_jp.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_CTF_return_ge,,Stream\Music\mp\CTF\mx_ctf_return_ge.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# SCORING,,Plays when a team scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_CTF_score_us,,Stream\Music\mp\CTF\mx_ctf_score_am.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_CTF_score_ru,,Stream\Music\mp\CTF\mx_ctf_score_rs.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_CTF_score_ja,,Stream\Music\mp\CTF\mx_ctf_score_jp.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_CTF_score_ge,,Stream\Music\mp\CTF\mx_ctf_score_ge.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# WAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Securing ,,Plays while securing the flag in WAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_war_securing_us,,Stream\Music\mp\war\mx_war_securing_us.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_war_securing_ru,,Stream\Music\mp\war\mx_war_securing_ru.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_war_securing_ja,,Stream\Music\mp\war\mx_war_securing_ja.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_war_securing_ge,,Stream\Music\mp\war\mx_war_securing_ge.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Captured,,Plays after capturing the flag in WAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_war_captured_us,,Stream\Music\mp\war\mx_war_captured_us.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_war_captured_ru,,Stream\Music\mp\war\mx_war_captured_ru.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_war_captured_ja,,Stream\Music\mp\war\mx_war_captured_ja.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_war_captured_ge,,Stream\Music\mp\war\mx_war_captured_ge.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DOMINATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Securing ,,Plays while securing the flag in DOMINATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_dom_securing_us,,Stream\Music\mp\war\mx_war_securing_us.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_dom_securing_ru,,Stream\Music\mp\war\mx_war_securing_ru.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_dom_securing_ja,,Stream\Music\mp\war\mx_war_securing_ja.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_dom_securing_ge,,Stream\Music\mp\war\mx_war_securing_ge.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Captured,,Plays after capturing the flag in DOMINATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_dom_captured_us,,Stream\Music\mp\war\mx_war_captured_us.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_dom_captured_ru,,Stream\Music\mp\war\mx_war_captured_ru.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_dom_captured_ja,,Stream\Music\mp\war\mx_war_captured_ja.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_dom_captured_ge,,Stream\Music\mp\war\mx_war_captured_ge.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# HEADQUARTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Securing ,,Plays while securing HEADQUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_hq_securing_us,,Stream\Music\mp\hq\mx_hq_securing_us.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_hq_securing_ru,,Stream\Music\mp\hq\mx_hq_securing_ru.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_hq_securing_ja,,Stream\Music\mp\hq\mx_hq_securing_ja.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_hq_securing_ge,,Stream\Music\mp\hq\mx_hq_securing_ge.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Captured,,Plays while capturing HEADQUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_hq_captured_us,,Stream\Music\mp\hq\mx_hq_captured_us.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_hq_captured_ru,,Stream\Music\mp\hq\mx_hq_captured_ru.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_hq_captured_ja,,Stream\Music\mp\hq\mx_hq_captured_ja.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_hq_captured_ge,,Stream\Music\mp\hq\mx_hq_captured_ge.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# SABOTAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# BOMB PICKUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_SAB_pickup_us,,Stream\Music\mp\war\mx_war_captured_us.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_SAB_pickup_ru,,Stream\Music\mp\war\mx_war_captured_ru.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_SAB_pickup_ja,,Stream\Music\mp\war\mx_war_captured_ja.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_SAB_pickup_ge,,Stream\Music\mp\war\mx_war_captured_ge.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# BOMB PLANTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_SAB_planted_us,,Stream\Music\mp\hq\mx_hq_securing_us.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_SAB_planted_ru,,Stream\Music\mp\hq\mx_hq_securing_ru.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_SAB_planted_ja,,Stream\Music\mp\hq\mx_hq_securing_ja.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_SAB_planted_ge,,Stream\Music\mp\hq\mx_hq_securing_ge.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# BOMB DEFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_SAB_defused_us,,Stream\Music\mp\hq\mx_hq_captured_us.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_SAB_defused_ru,,Stream\Music\mp\hq\mx_hq_captured_ru.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_SAB_defused_ja,,Stream\Music\mp\hq\mx_hq_captured_ja.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_SAB_defused_ge,,Stream\Music\mp\hq\mx_hq_captured_ge.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Search and Destroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# BOMB PICKUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_SD_pickup_us,,Stream\Music\mp\war\mx_war_captured_us.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_SD_pickup_ru,,Stream\Music\mp\war\mx_war_captured_ru.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_SD_pickup_ja,,Stream\Music\mp\war\mx_war_captured_ja.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_SD_pickup_ge,,Stream\Music\mp\war\mx_war_captured_ge.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# BOMB PLANTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_SD_planted_us,,Stream\Music\mp\hq\mx_hq_securing_us.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_SD_planted_ru,,Stream\Music\mp\hq\mx_hq_securing_ru.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_SD_planted_ja,,Stream\Music\mp\hq\mx_hq_securing_ja.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_SD_planted_ge,,Stream\Music\mp\hq\mx_hq_securing_ge.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# BOMB DEFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_SD_defused_us,,Stream\Music\mp\hq\mx_hq_captured_us.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_SD_defused_ru,,Stream\Music\mp\hq\mx_hq_captured_ru.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_SD_defused_ja,,Stream\Music\mp\hq\mx_hq_captured_ja.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_SD_defused_ge,,Stream\Music\mp\hq\mx_hq_captured_ge.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The german victory song is in the localized folder in order to make a german safe version.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mp_victory_german,,voiceovers\mp\music\mp_victory_german.wav,,0.7,0.7,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_victory_soviet,,Stream\Music\mp\global\mx_victory_rs.wav,,0.85,0.85,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_victory_usa,,Stream\Music\mp\global\mx_victory_am.wav,,0.85,0.85,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mp_victory_japanese,,Stream\Music\mp\global\mx_victory_jp.wav,,0.85,0.85,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ROUNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ROUND WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_round_win_us,,Stream\Music\mp\round\round_win_us.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_round_win_ja,,Stream\Music\mp\round\round_win_ja.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_round_win_ru,,Stream\Music\mp\round\round_win_ru.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
mx_round_win_ge,,Stream\Music\mp\round\round_win_ge.wav,,0.5,0.5,1,1,,,,,,,,music,2d,streamed,,,,all_mp,,,,,,,,,,music,0,,,,,,,,,,100,100,0.25,1,
