mx_dog_fire_long_stg,,Stream\Music\Mission\sniper\final\mx_dog_fire_long_stg.wav,,1,,,,,,,,music,,,0,,,,,,,2d,streamed,,,0.7,,,,,,music_all,,,,,,0,,,no,no,100,100,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_post_outdoor_battle,,Stream\Music\Mission\sniper\final\mx_post_battle.wav,,0.75,,,,,,,,music,,,0,,,,,,,2d,streamed,,,0.7,,,,,,music_all,,,,,,0,,,no,no,100,100,0.25,1
mx_general_dead_loop,,Stream\Music\Mission\sniper\final\mx_general_dead_loop.wav,,1,,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,0.8,,,,,,music_all,,,,,,0,,,no,no,100,100,0.25,1
mx_general_dead_stg,,Stream\Music\Mission\sniper\final\mx_general_dead_stg.wav,,1,,,,,,,,music,,,0,,,,,,,2d,streamed,,,0.7,,,,,,music_all,,,,,,0,,,no,no,100,100,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_surprised_again,,Stream\Music\Mission\sniper\mx_sniper_stg.wav,,0.7,,,,,,,,music,,,0,,,,,,,2d,streamed,,,0.7,,,,,,music_all,,,,,,0,,,no,no,100,100,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mx_end_chase,,Stream\Music\Mission\sniper\final\mx_end_chase.wav,,1,,,,,,,,music,,,0,,,,,,,2d,streamed,,looping,0.7,,,,,400,music_all,,,,,,0,,,no,no,100,100,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fountain_guy_breathing_large_1,,SFX/Levels/sniper/intro/fountain/hurt_breathing.wav,,0.75,0.75,100,400,1,reject,,,character,,,,,,,,,,3d,streamed,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
fountain_guy_breathing_large_2,,battlechatter/ru/1/RU_1_breathing_large_00.wav,,0.85,0.85,100,400,1,reject,,,character,,,,,,,,,,3d,streamed,,,,,,,,500,,,,,,,,,,,,100,100,0.25,1
fountain_guy_breathing_large_3,,null.wav,,0.5,0.6,100,400,1,reject,,,character,,,,,,,,,,3d,streamed,,,,,,,,0,,,,,,,,,,,,100,100,0.25,1
fountain_guy_breathing_large_4,,null.wav,,0.5,0.6,100,400,1,reject,,,character,,,,,,,,,,3d,streamed,,,,,,,,0,,,,,,,,,,,,100,100,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fountain_guy_dead_1,,battlechatter/ru/0/RU_0_death_small_00.wav,,1,1,100,400,1,reject,,,character,,,,,,,,,,3d,streamed,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
fountain_guy_dead_2,,battlechatter/ru/1/RU_1_death_small_00.wav,,1,1,100,400,1,reject,,,character,,,,,,,,,,3d,streamed,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reznov_grunt,,voiceovers/sniper/grunts/reznov_grunt.wav,,1,1,250,1200,,,,,character,,,,,,,0.8,0.8,,3d,,,,,,,,,50,,,,,,,,,,,,100,100,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quad_fly,,SFX\Levels\sniper\city\quad_fly_f.wav,,0.15,0.3,,,1,reject,,,voice,,,,,,,1,1,,2d,,,,,,,quad_fly_rear,,,wpn_fnt,,,,,,,,,,,100,100,0.25,1
quad_fly_rear,,SFX\Levels\sniper\city\quad_fly_r.wav,,0.15,0.3,,,1,reject,,,voice,,,,,,,1,1,,2d,,,,,,,,,,wpn_rear,,,,,,,,,,,100,100,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drive_up,,SFX\Levels\sniper\horch\horch_drive_up.wav,,1,1,10000,20000,,,,,full_vol,,,,,,,1,1,,3d,,,,,,,door_close,,800,,,,,,,,,,,,100,100,0.25,1
door_close,,SFX\Levels\sniper\horch\door_close.wav,,1,1,10000,20000,,,,,full_vol,,,,,,,1,1,,3d,,,,,,,,,17250,,,,,,,,,,,,100,100,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Panther,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panzeriv_idle_low,,SFX/Vehicles/Tanks/Sherman/VH_Sherman_Idle_00.wav,,0.75,0.75,35,1000,,,,,vehicle,,,,,,,1,1,,3d,,,looping,0.8,,,,,,,,,,,,,,,,yes,100,100,0.25,1
#panzeriv_idle_high,,SFX/Vehicles/Tanks/Sherman/VH_Sherman_Idle_00.wav,,0.75,0.75,35,1000,,,,,vehicle,,,,,,,1,1,,3d,,,looping,0.8,,,,,,,,,,,,,,,,,100,100,0.25,1
#panzeriv_engine_low,,SFX/Vehicles/Tanks/Sherman/VH_Sherman_loop_00.wav,,0.75,0.75,35,1000,,,,,vehicle,,,,,,,1,1,,3d,,,looping,0.8,,,,,,,,,,,,,,,,,100,100,0.25,1
panzeriv_engine_high,,SFX/Vehicles/Tanks/Sherman/VH_Sherman_Move_00.wav,,0.75,0.75,35,1000,,,,,vehicle,,,,,,,1,1,,3d,,,looping,0.8,,,,,,,,,,,,,,,,yes,100,100,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panzeriv_turret_spin,,SFX/Vehicles/Tanks/Turret/VH_Turret_Loop.wav,,0.75,0.75,35,4000,,,,,vehicle,,,,,,,1,1,,3d,,,looping,0.8,,,,,,,,,,,,,,,,,20,80,0.25,1
panzeriv_turret_stop,,SFX/Vehicles/Tanks/Turret/VH_Turret_End.wav,,0.75,0.75,35,4000,,,,,vehicle,,,,,,,1,1,,3d,,,,,,,,,,,,,,,,,,,,,20,80,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ambient SFX - Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dist_battle_low,,Stream\Level\ber3b\ber3b_battle_low.wav,,0.6,0.6,200,18000,,,,,full_vol,,curve2,,22500,,curve4,1,1,,3d,streamed,,looping,0.8,,,,,100,,,,,,,0.2,,,no,no,80,80,0.15,0.55
dist_battle_high,,Stream\Level\ber3b\ber3b_battle_high.wav,,0.85,0.85,250,15000,,,,,full_vol,,curve3,,22500,,curve4,1,1,,3d,streamed,,looping,0.8,,,,,,,,,,,,0.2,,,no,no,80,80,0.15,0.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bomb_far,,SFX/Amb/bomb_far_##,,0.4,0.6,40,10000,2,reject,,,ambience,,curve3,,12000,,curve1,1,1,,3d,,,,0.8,,,bomb_far_falloff,,,,0.8,,,,,0.2,,,no,no,50,100,0.15,0.55
bomb_far_falloff,,SFX/Destruction/Explosion_Falloff_##,,0.4,0.6,40,10000,2,reject,,,ambience,,curve2,,12000,,curve1,1,1,,3d,,,,0.8,,,,,,,0.8,,,,,0.2,,,no,no,50,100,0.15,0.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,
bomb_far_scripted,,SFX/Amb/bomb_far_##,,0.4,0.6,40,12000,2,reject,,,ambience,,curve3,,15000,,curve2,0.9,1.05,,3d,,,,0.8,,,bomb_far_falloff_scripted,,,,0.8,,,,,0.1,,,no,no,50,100,0.15,0.55
bomb_far_falloff_scripted,,SFX/Destruction/Explosion_Falloff_##,,0.4,0.6,40,12000,2,reject,,,ambience,,curve2,,15000,,curve2,0.9,1.05,,3d,,,,0.8,,,dist_debris_l,,,,,,,,,0.1,,,no,no,50,100,0.15,0.55
dist_debris_l,,SFX\Levels\sniper\dist_explos\explo_sweetner_left.wav,,0.4,0.6,40,10000,2,reject,,,ambience,,curve3,,15000,,curve4,0.9,1.1,pitch,3d,,,,0.5,,,dist_debris_r,,500,,0.8,,,,,0.1,left_player,4,no,no,50,80,0.4,1
dist_debris_r,,SFX\Levels\sniper\dist_explos\explo_sweetner_right.wav,,0.4,0.6,40,10000,2,reject,,,ambience,,curve3,,15000,,curve4,0.9,1.1,pitch,3d,,,,0.5,,,,,515,,0.8,,,,,0.1,right_player,4,no,no,50,80,0.4,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_loop_l,,Stream\Level\mak\line_wind\wind_on_hill_L.wav,,1,1,250,1000,,,,,ambience,,curve3,,1500,,curve4,1,1,,3d,streamed,,looping,,,pcm,,,,,,,,,,0,,,no,no,20,50,0.25,1
amb_wind_loop_r,,Stream\Level\mak\line_wind\wind_on_hill_r.wav,,1,1,250,1000,,,,,ambience,,curve3,,1500,,curve4,1,1,,3d,streamed,,looping,,,pcm,,,,,,,,,,0,,,no,no,20,50,0.25,1
amb_wood_creak,,SFX\Levels\sniper\building\wood_creak_##,,0.45,0.75,250,1000,,,,,ambience,,curve2,,1400,,curve2,0.92,1.04,,3d,,,,,,,amb_dust,,,,,,,,,0.2,,,no,no,5,10,0.25,1
amb_dust,,SFX\Levels\sniper\building\dust_##,,0.35,0.55,250,700,,,,,ambience,,curve2,,1400,,curve2,0.92,1.04,,3d,,,,,,pcm,,,400,,,,,,,0,,,no,no,5,10,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weap_flamethrower_start_3p,,SFX/Weapon/Special/Flame_Thrower/wpn_flm_ignite_mn.wav,,0.7,0.7,500,1500,,,,,hvy_wpn,,,,,,,1,1,,3d,,,,0.45,,,weap_flamethrower_flux_1,,,,,,,,,0,,,no,no,70,90,0.35,1
weap_flamethrower_fireloop_3p,,SFX/Weapon/Special/Flame_Thrower/wpn_flmthwr_mn_flame.wav,,0.7,0.7,500,1500,,,,,hvy_wpn,,,,,,,1,1,,3d,,,looping,0.45,,,,,,,,,,,,0.15,,,no,no,70,90,0.35,1
weap_flamethrower_cooldown_3p,,SFX/Weapon/Special/Flame_Thrower/wpn_flm_cooldown_mn.wav,,0.8,0.8,500,1500,,,,,hvy_wpn,,,,,,,1,1,,3d,,,,0.45,,,,,,,,,,,,0.15,,,no,no,70,90,0.35,1
weap_flamethrower_swtnr,,SFX/Amb/bomb_far_##,,0.8,0.8,50,150,,,,,hvy_wpn,,,,,,,1,1,,3d,,,,0.45,,,,,,,0.8,,,,,0.15,,,no,no,20,50,0.35,1
weap_flamethrower_flux_1,,SFX\Weapon\Special\Flame_Thrower\flux\flame_00.wav,,0.6,0.6,50,1200,,,,,full_vol,,,,,,,1,1,,3d,,,,0.45,,,weap_flamethrower_flux_2,,,,,,,,,0.15,left_shot,2,no,no,20,50,0.35,1
weap_flamethrower_flux_2,,SFX\Weapon\Special\Flame_Thrower\flux\flame_01.wav,,0.6,0.6,50,1200,,,,,full_vol,,,,,,,1,1,,3d,,,,0.45,,,weap_flamethrower_swtnr,,,,,,,,,0.15,right_shot,2,no,no,20,50,0.35,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weap_flamethrower_start_3p_scripted,,SFX/Weapon/Special/Flame_Thrower/wpn_flm_ignite_mn.wav,,0.6,0.6,500,1200,,,,,explosion,,,,,,,1,1,,3d,,,,0.45,,,weap_flamethrower_flux_1,,,,,,,,,0,,,no,no,70,90,0.35,1
weap_flamethrower_fireloop_3p_scripted,,SFX/Weapon/Special/Flame_Thrower/wpn_flmthwr_mn_flame.wav,,0.65,0.65,500,1000,,,,,explosion,,,,,,,1,1,,3d,,,looping,0.45,,,,,,,,,,,,0.15,,,no,no,70,90,0.35,1
weap_flamethrower_cooldown_3p_scripted,,SFX/Weapon/Special/Flame_Thrower/wpn_flm_cooldown_mn.wav,,0.4,0.4,500,1200,,,,,explosion,,,,,,,1,1,,3d,,,,0.45,,,,,,,,,,,,0,,,no,no,70,90,0.35,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_large_fire,,SFX\Levels\Makin\hut_fire\hut_fire_00.wav,,0.4,0.4,250,1000,,,,,ambience,,curve3,,1600,,curve4,0.98,1.04,,3d,,,looping,0.45,,pcm,,,,,,,100,400,0.1,0.2,,,no,yes,20,40,0.15,0.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_fire_building,,SFX\Levels\Makin\hut_fire\hut_fire_00.wav,1,0.2,0.35,250,1500,3,priority,1,reject,ambience,,curve3,,1600,,curve4,0.8,1.1,pitch,3d,,,looping,0.45,,pcm,,,,,,,100,400,0.1,0.5,,,no,yes,40,80,0.15,0.85
large_fire_building,,SFX\Levels\sniper\building\fires\fires\fires_00.wav,2,0.2,0.35,250,1500,3,priority,1,reject,ambience,,curve3,,1600,,curve4,0.8,1.1,pitch,3d,,,looping,0.45,,pcm,,,,,,,100,400,0.1,0.5,,,no,yes,40,80,0.15,0.85
large_fire_building,,SFX\Levels\sniper\building\fires\fires\fires_01.wav,3,0.2,0.35,500,2000,3,priority,1,reject,ambience,,curve3,,2400,,curve4,0.8,1.1,pitch,3d,,,looping,0.45,,pcm,,,,,,,100,400,0.1,0.5,,,no,yes,40,80,0.15,0.85
large_fire_building,,SFX\Levels\sniper\building\fires\fires\fires_02.wav,4,0.2,0.4,500,2000,3,priority,1,reject,ambience,,curve3,,2400,,curve4,0.8,1.1,pitch,3d,,,looping,0.45,,pcm,,,,,,,100,400,0.1,0.5,,,no,yes,40,80,0.15,0.85
large_fire_building,,SFX/Destruction/fires/dynamic/dyn_fire_00.wav,5,0.2,0.45,500,2000,3,priority,1,reject,ambience,,curve3,,2250,,curve4,1,1,,3d,,,looping,0.45,,pcm,,,,,,,,,,0.5,,,,,25,80,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
celing_fall_1,,SFX\Levels\sniper\building\fires\debris\celing_1.wav,,1,1,2000,8000,,,,,full_vol,,curve5,,,,,1,1,,3d,,,,,,,,,,,,,,,,0,,,no,no,80,80,0.25,1
celing_fall_2,,SFX\Levels\sniper\building\fires\debris\celing_2.wav,,1,1,2000,8000,,,,,full_vol,,curve5,,,,,1,1,,3d,,,,,,,,,,,,,,,,0,,,no,no,80,80,0.25,1
bookcase_fall,,SFX\Levels\sniper\building\fires\debris\book_case.wav,,0.8,0.8,2000,8000,,,,,full_vol,,curve5,,,,,1,1,,2d,,,,,,,,,1300,wpn_all,,,,,,0,,,no,no,80,80,0.25,1
fire_ignite_linked,,SFX\Levels\sniper\building\fires\ignite_##,,1,1,500,2500,,,,,full_vol,,curve4,,3800,,curve5,0.92,1.04,,2d,,,,0.7,,pcm,,,2000,,,,,,,0,,,no,no,5,10,0.25,1
fire_ignite,,SFX\Levels\sniper\building\fires\ignite_##,,1,1,500,2500,,,,,full_vol,,curve4,,3800,,curve5,0.92,1.04,,2d,,,,0.7,,pcm,,,400,,,,,,,0,,,no,no,5,10,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosion_heater,,SFX\Levels\sniper\building\fires\explosion\heater.wav,,1,1,2500,2500,,,,,full_vol,,curve4,,3800,,curve5,0.92,1.04,,3d,,,,,,,,,,wpn_all,,,,,,0,,,no,no,80,80,0.25,1
heater_loop,,SFX\Levels\sniper\building\fires\explosion\fire_loop.wav,,0.4,0.4,100,800,,,,,full_vol,,curve2,,2500,,curve2,0.92,1.04,,3d,,,looping,0.5,,,,,,,,,,,,1,,,no,no,25,80,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beam_break,,SFX\Levels\sniper\building\fires\debris\beam_break.wav,,1,1,2000,8000,,,,,full_vol,,curve5,,,,,1,1,,3d,,,,,,,,,,,,,,,,0,,,no,no,80,80,0.25,1
beam_break_2,,SFX\Levels\sniper\building\fires\debris\beam_break_2.wav,,1,1,2000,8000,,,,,full_vol,,curve5,,,,,1,1,,3d,,,,,,,,,,,,,,,,0,,,no,no,80,80,0.25,1
chandelier,,SFX\Levels\ber3b\chand_##,,1,1,100,1000,1,reject,1,reject,ambience,,curve1,,,,,0.98,1.02,,3d,,,,,,,,,,,,,,,,,,,,,50,80,0.25,1
explosion_fake,,SFX\Levels\sniper\building\fires\explosion\heater.wav,,0.75,0.75,2500,2500,,,,,full_vol,,curve4,,3800,,curve5,0.85,0.85,,3d,,,,,,,,,,wpn_all,,,,,,0,,,no,no,80,80,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fire_manager_0,,SFX/Destruction/fires/dynamic/dyn_fire_00.wav,,1,1,50,500,,,,,ambience,,,,850,,curve2,1,1,,3d,,,looping,,,pcm,,,,,,,,,,,,,,,25,80,0.25,1
fire_manager_1,,SFX/Destruction/fires/dynamic/dyn_fire_01.wav,,1,1,50,500,,,,,ambience,,,,850,,curve2,1,1,,3d,,,looping,,,pcm,,,,,,,,,,,,,,,25,80,0.25,1
fire_manager_2,,SFX/Destruction/fires/dynamic/dyn_fire_02.wav,,1,1,50,500,,,,,ambience,,,,850,,curve2,1,1,,3d,,,looping,,,pcm,,,,,,,,,,,,,,,25,80,0.25,1
fire_manager_3,,SFX/Destruction/fires/dynamic/dyn_fire_03.wav,,1,1,50,500,,,,,ambience,,,,850,,curve2,1,1,,3d,,,looping,,,pcm,,,,,,,,,,,,,,,25,80,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_clock_tick_scripted,,SFX\Levels\sniper\building\clock\tick_loop_00.wav,,0.6,0.6,200,300,,,,,full_vol,,curve4,,1000,,curve4,1,1,,3d,,,looping,,,,,,,,,,,,,0,,,no,no,50,50,0.25,1
amb_clock_gong,,SFX\Levels\sniper\building\clock\amb_clock_gong_00.wav,,0.7,0.7,200,800,,,,,full_vol,,curve4,,1000,,curve4,1,1,,3d,,,,,,,,,,,,,,,,0,,,no,no,50,50,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
celing_collapse,,SFX\Levels\sniper\building\wood_fire\wood_fire_collapse.wav,,1,1,250,1000,,,,,full_vol,,curve4,,1800,,curve5,1,1,,2d,,,,,,,burn_hand,,600,wpn_all,,,,,,0,,,no,no,5,10,0.25,1
celing_collapse_start,,SFX\Levels\sniper\building\wood_fire\wood_fire_collapse_s.wav,,1,1,250,1000,,,,,full_vol,,curve4,,1800,,curve5,1,1,,2d,,,,,,,celing_collapse,,,wpn_all,,,,,,0,,,no,no,5,10,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,player_land_shock,,,,,,,,,,,,,,,,,
burn_hand,,SFX\Levels\sniper\building\burn_hand\burn_hand.wav,,1,1,250,1000,,,,,full_vol,,curve4,,1800,,curve5,1,1,,2d,,,,,,pcm,player_pain_vo,,6000,wpn_all,,,,,,0,,,no,no,5,10,0.25,1
player_pain_vo,,SFX\Levels\sniper\building\burn_hand\player_pain.wav,,1,1,250,1000,,,,,full_vol,,curve4,,1800,,curve5,1,1,,2d,,,,,,,,,6400,,,,,,,0,,,no,no,5,10,0.25,1
player_land_outside,,SFX\Levels\sniper\building\out_window\player_land_outside.wav,,1,1,250,1000,,,,,full_vol,,curve4,,1800,,curve5,1,1,,2d,,,,,,,,,750,wpn_all,,,,,,0,,,no,no,5,10,0.25,1
player_land_shock,,SFX/Character/tinnitus/flareshock_fade_eq.wav,,1,1,250,1000,,,,,full_vol,,curve4,,1800,,curve5,0.8,0.8,,2d,,,,,,,900,,750,wpn_all,,,,,,0,,,no,no,5,10,0.25,1
holy_shit,,SFX\Levels\sniper\building\chasing_fire\holy_shit.wav,,1,1,500,5000,,,,,full_vol,,curve4,,,,,1,1,,2d,,,,,,,,,,wpn_all,,,,,,0,,,no,no,5,10,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp_second_floor,,SFX\Levels\Makin\hut_explos\exp_hut_corner.wav,,1,1,5000,5000,,,,,full_vol,,curve5,,12000,,curve5,1,1,,3d,,,,,,,exp_sweet_L,,,wpn_all,,,,,,0,,,no,no,50,100,0.15,0.55
