name,sequence,file,platform,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,priority,spatialized,type,probability,loop,masterslave,loadspec,reverb_falloff_curve,subtitle,compression,randomize_type,secondaryaliasname,chainaliasname,volumefalloffcurve,startdelay,speakermap,reverb_send,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,occlusion_level,min_priority,max_priority,min_priority_threshold,max_priority_threshold
amb_creek_01,,SFX\Levels\Makin\creek\creek_01.wav,!wii,0.1,0.1,0.9,1.05,500,800,1100,,,,,ambience,60,3d,,,looping,,,curve3,,,pitch,,,curve2,,,,,,,250,800,0.5,,30,50,0.1,1
amb_creek_calm_00,,SFX\Levels\Makin\creek\creek_calm_00.wav,!wii,0.6,0.6,0.9,1.05,500,800,1100,,,,,ambience,60,3d,,,looping,,,curve3,,,pitch,amb_creek_01,,curve2,,,,,,,250,800,0.5,,30,50,0.1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_raven,,SFX/Amb/animals/raven_##,!wii,0.5,0.8,0.95,1.05,10,1500,3000,,,,,ambience,60,3d,,0.5,,,,curve3,,,,,,curve2,,,,,,,,,,0.8,30,50,0.1,1
anml_chatter,,sfx/levels/mp_castle/anml_chatter_##,!wii,0.4,0.8,0.9,1.1,50,1000,2000,,,,,ambience,60,3d,,0.65,,,,curve3,,,pitch,,,curve2,,,,,,,,,,0.2,30,50,0.1,1
bird_chatter,,sfx/levels/mp_castle/bird_chatter_##,!wii,0.4,0.8,0.9,1.1,50,1000,2000,,,,,ambience,60,3d,,0.65,,,,curve3,,,pitch,,,curve2,,,,,,,,,,0.2,30,50,0.1,1

amb_bugs_cicada,,SFX/Amb/animals/cicada_##,!wii,0.05,0.1,,,100,800,1500,,,,,ambience,60,3d,,,,,,curve2,,,pitch,,,curve2,,,,,,,,,,0.2,30,50,0.1,1
amb_bugs_other,,SFX/Amb/animals/misc_bug_##,!wii,0.15,0.25,0.9,1.05,250,1000,1500,,,,,ambience,60,3d,,,,,,curve3,,,,,,curve3,,,,,,,,,,0.3,30,50,0.1,1

wood_creak,,sfx/Amb/wood_creak_##,!wii,0.5,0.6,0.9,1.1,50,500,800,,,,,ambience,60,3d,,0.8,,,,curve3,,,,,,curve3,,,,,,,,,,0.5,20,60,0.2,1
rats,,sfx/amb/animals/rodents_##,!wii,0.3,0.6,0.9,1.1,50,500,700,,,,,ambience,60,3d,,0.8,,,,curve3,,,pitch,,,curve3,,,,,,,,,,0.5,20,60,0.2,1,,

# For Wii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#castle_indoor,,sfx/levles/mp_castle_indoor.wav,wii,1,1,,,,,,,,,,ambience,,2d,streamed,,looping,,,,,,,,,,,,,,,,,,,,,,,,60,60
#castle_outdoor,,sfx/levles/mp_castle_outdoor.wav,wii,1,1,,,,,,,,,,ambience,,2d,streamed,,looping,,,,,,,,,,,,,,,,,,,,,,,,60,60
