line_emit_forestr,,Stream\Level\ber1\wind\line_windR.wav,,0.8,0.8,250,5000,,,,,ambience,,,,,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
#wind_gust_3d,,SFX/Amb/Wind/gusts/3d/med_##,,0.5,0.85,100,1000,3,reject,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,wind_gust_2d,,,,,,,,,,,,,,,,,,
#wind_gust_trees_3d,,SFX/Amb/Wind/gusts/3d/light_##,,0.15,0.5,100,350,3,reject,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,
#wind_gust_2d,,SFX/Amb/Wind/gusts/2d_##,,0.15,0.25,250,1000,3,reject,,,ambience,,,,,,,1,1,,2d,,0.2,,,,,,,,1000,,,,,,,,,,,,,,,,

# Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_dog_bark,,SFX/Amb/animals/dog_##,,0.9,1,250,2500,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_rodents,,SFX/Amb/animals/Rodents_##,,0.9,1,250,2500,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_rodents_pain,,SFX/Amb/animals/Rodents/mouse_pain_##,,0.9,1,250,2500,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_raven,,SFX/Amb/animals/raven_##,,0.5,0.8,10,1000,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,


#Interior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparks,,SFX\Levels\sniper\sparks_##,,0.45,0.55,100,800,,,,,ambience,,,,,,,,,,3d,,,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
ber3b_small_pipe_loop,,SFX\Levels\ber3b\pipes\steam_loop.wav,,0.5,0.5,50,500,,,,,ambience,,curve1,,,,,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,10,20,0.25,1
steam_loop,,SFX\Levels\berlin_1\steam\steam_00.wav,,0.55,0.55,50,500,,,,,ambience,,,1,1000,,,0.95,1.05,,3d,,,looping,,,,,,,,,,,,,,,,,,,,10,20,0.25,1
music_box,,Stream\Level\ber1\music_box\music_box.wav,,0.25,0.35,50,500,,,,,full_vol,,,1,2000,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,,,,,,,10,20,0.25,1
music_box_close,,SFX\Levels\berlin_1\box_close\box_close.wav,,0.35,0.45,1000,1900,,,,,full_vol,,,,,,,,,,3d,,,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
insane_laugh,,SFX\Levels\berlin_1\laugh_##,,0.6,0.6,2000,3000,,,,,full_vol,,,1,2000,,,,,,3d,,,,,,,,,,,wpn_rear,,,,,,,,,,,,10,50,0.25,1
insane_scream,,Stream\Level\ber1\insane\insane_scream.wav,,0.5,0.75,500,1000,,,,,full_vol,,,1,2000,,,1,1,,3d,streamed,,,,,,,,,,,,,,,,,,,,,,10,20,0.25,1
art_int,,SFX/Levels/Berlin_2/art_int/artillery_int_00.wav,,1,1,,,,,,,ambience,,,,,,,,,,2d,,,,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
debris_fall,,SFX/Levels/Berlin_2/debris_##,,0.6,0.9,50,1500,2,reject,,,full_vol,,,,,,,1,1,,3d,,,,,,,,,,500,,,,,,,0.2,,,,,,100,100,0.25,1
playground,,Stream\Level\ber1\playground\playground.wav,,0.15,0.25,300,500,,,,,full_vol,,,1,2000,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,0.3,,,,,,10,20,0.25,1
child_chant,,SFX\Levels\berlin_1\children\children.wav,,0.15,0.25,300,500,,,,,full_vol,,,1,2000,,,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,10,20,0.25,1
child_scream,,SFX\Levels\berlin_1\child_yell\child_yell_03.wav,,0.25,0.3,2000,3000,,,,,full_vol,,,1,2000,,,,,,3d,,,,,,,,,,,wpn_rear,,,,,,,,,,,,10,50,0.25,1
#Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wood_dust,,SFX/Amb/debris/wood_dust_##,,0.4,0.8,10,150,,,,,ambience,,,,,,,0.9,1.1,,2d,,,,,,,,amb_stone_dust,,5500,,,,,,,,,,,,,,,,
amb_wood_small,,SFX/Amb/debris/wood_tiny_##,,0.4,0.8,10,150,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wood_boards,,SFX/Amb/debris/wood_med_##,,0.4,0.8,100,500,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wood_creak,,SFX/Amb/debris/wood_bend_##,,0.4,0.8,100,500,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,
#Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_stone_dust,,SFX/Amb/debris/rock_dust_##,,0.4,0.8,10,150,,,,,ambience,,,,,,,0.9,1.1,,2d,,,,,,,,,,6000,,,,,,,,,,,,,,,,
amb_stone_small,,SFX/Amb/debris/rock_tiny_##,,0.4,0.8,10,150,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_stone_med,,SFX/Amb/debris/rock_med_##,,0.4,0.8,10,150,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,
#Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_water_drips,,SFX/Amb/amb_drip_##,,0.2,0.5,10,100,,,,,ambience,,,,,,,0.9,1.05,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,
#bathroom_drip,,SFX\Amb\rain\on_stuff\drip\drip_00.wav,,0.7,1,200,600,2,priority,,,ambience,,,,,,,0.9,1.05,,3d,,,looping,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
bathroom_drip,,SFX\Levels\Berlin_1\asylum\bathroom\drips\drips_00.wav,0,0.4,0.6,10,400,3,priority,,,ambience,,,,,,,0.9,1.05,,3d,,,looping,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
bathroom_drip,,SFX\Levels\Berlin_1\asylum\bathroom\drips\drips_01.wav,1,0.4,0.7,10,400,3,priority,,,ambience,,,,,,,0.9,1.05,,3d,,,looping,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
bathroom_drip,,SFX\Levels\Berlin_1\asylum\bathroom\drips\drips_02.wav,2,0.4,0.8,10,400,3,priority,,,ambience,,,,,,,0.9,1.05,,3d,,,looping,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
#Outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind_gust_tree,,SFX/Amb/Wind/leaves_##,,0.9,1,800,3000,3,reject,,,ambience,,curve3,,,,,0.9,1.1,,3d,,,,,,,pcm,,,,,,,,,,,,,,,,25,45,0.4,1
#dist_battle_high,,Stream\Level\ber3b\ber3b_battle_high.wav,,0.85,0.85,250,15000,,,,,full_vol,,curve3,,22500,,curve4,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,0.2,,no,yes,,,40,80,0.15,0.55
dist_battle_high,,null.wav,,0.85,0.85,250,15000,,,,,full_vol,,curve3,,22500,,curve4,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,0.2,,no,yes,,,40,80,0.15,0.55
amb_bomb_far,,SFX/Amb/bomb_far_##,,0.6,0.6,40,12000,,,,,ambience,,curve3,,15000,,curve2,0.9,1.05,,3d,,0.25,,,,,,bomb_far_falloff_scripted,,,,0.5,,,,,0.1,no,no,,,,50,100,0.15,0.55
bomb_far_falloff_scripted,,SFX/Destruction/Explosion_Falloff_##,,0.6,0.6,40,12000,,,,,ambience,,curve2,,15000,,curve2,0.9,1.05,,3d,,,,,,,,script_dist_debris_l,,,,,,,,,0.1,no,no,,,,50,100,0.15,0.55
script_dist_debris_l,,SFX\Levels\sniper\dist_explos\explo_sweetner_left.wav,,0.6,0.7,40,10000,3,reject,,,explosion,,curve3,,15000,,curve4,0.9,1.1,pitch,3d,,0.5,,,,,,script_dist_debris_r,,500,,,,,,,0.1,no,no,,left_player,8,50,80,0.4,1
script_dist_debris_r,,SFX\Levels\sniper\dist_explos\explo_sweetner_right.wav,,0.6,0.7,40,10000,3,reject,,,explosion,,curve3,,15000,,curve4,0.9,1.1,pitch,3d,,,,,,,,,,515,,,,,,,0.1,no,no,,right_player,8,50,80,0.4,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_water_bubble,,SFX\Levels\Berlin_1\bubbles\amb_bubbles.wav,,0.85,0.85,50,350,,,,,ambience,,curve3,,500,,curve2,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,0.2,,no,no,,,10,15,0.15,0.85
#Asylum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_spooky_2d,,SFX\Levels\zombie\proto\amb_spooky_2d_##,,0.9,1,,,8,reject,,,full_vol,,,,,,,0.94,1.04,,2d,,,,,,,,,,,wpn_all,,,,,,0,,,,,,100,100,0.25,1
amb_spooky,,SFX\Levels\Berlin_1\asylum\amb_spooky_##,,0.75,1,200,2500,5,reject,,,full_vol,,,,3000,,,0.8,1.2,,3d,,,,,,,,,,,,,,,,,0.2,,,,,,10,50,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asylum_wind_left,,SFX\Levels\Berlin_1\asylum\asylum_wind\asylum_wind_left.wav,,0.85,0.85,250,2500,,,,,full_vol,,curve3,,3000,,curve4,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,0.2,,no,yes,,,40,80,0.15,0.55
asylum_wind_right,,SFX\Levels\Berlin_1\asylum\asylum_wind\asylum_wind_right.wav,,0.85,0.85,250,2500,,,,,full_vol,,curve3,,3000,,curve4,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,0.2,,no,yes,,,40,80,0.15,0.55
#Scripted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clock_shot,,SFX/Destruction/vehicle_##,,0.75,0.95,250,15000,,,,,full_vol,,,,,,,0.9,1.1,,3d,,,,0.05,,,,bomb_far_falloff_glo,,,,0.2,,,,,,,,,,,100,100,0.25,1
clock_hit,,SFX/Destruction/vehicle_##,,0.75,0.95,250,15000,,,,,full_vol,,,,,,,0.9,1.1,,3d,,,,0.05,,,,bomb_far_falloff_glo,,,,0.2,,,,,,,,,,,100,100,0.25,1
bomber_die,,SFX/Levels/Berlin_1/stuka_fall_00.wav,,0.7,0.7,5000,125000,,,,,full_vol,,curve4,,,,,1,1,,3d,,,,,,,,,,1300,,,0.3,,,,,,,,,,100,100,0.25,1
russian_battle_cry,,SFX/Levels/Berlin_1/battle_cry_00.wav,,0.85,0.85,100,500,1,reject,,,full_vol,,,,,,,1,1,,2d,,,,,,,,,,1500,,,,,,,,,,,,,100,100,0.25,1
russian_battle_cry2,,SFX/Levels/Berlin_1/battle_cry_01.wav,,0.85,0.85,100,500,1,reject,,,full_vol,,,,,,,1,1,,2d,,,,,,,,russian_battle_cry,,1000,,,,,,,,,,,,,100,100,0.25,1
sgt_yell,,SFX/Levels/Berlin_1/battle_cry_mn_00.wav,,0.7,0.7,100,1000,1,reject,,,full_vol,,,,,,,1,1,,3d,,,,,,,,russian_battle_cry2,,,,,,,,,,,,,,,100,100,0.25,1
russian_battle_crymn,,SFX/Levels/Berlin_1/battle_cry_mn_00.wav,1,0.7,0.7,100,1000,1,reject,,,full_vol,,,,,,,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
russian_battle_crymn,,SFX/Levels/Berlin_1/battle_cry_mn_01.wav,2,0.7,0.7,100,1000,1,reject,,,full_vol,,,,,,,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
russian_battle_crymn,,SFX/Levels/Berlin_1/battle_cry_mn_02.wav,3,0.7,0.7,100,1000,1,reject,,,full_vol,,,,,,,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
russian_battle_crymn,,SFX/Levels/Berlin_1/battle_cry_mn_03.wav,4,0.7,0.7,100,1000,1,reject,,,full_vol,,,,,,,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
#sgt_yell,,SFX/Levels/Berlin_1/sgt_charge_00.wav,,0,0,10,150,,,,,full_vol,,,,,,,1,1,,2d,,,,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
satchel_charges,,SFX/Levels/Berlin_1/gate_explo_00.wav,,0.8,0.8,500,12000,,,,,full_vol,,,,,,,1,1,,3d,,,,,,,,rocket_dirt,,,,,,,,,,,,,,,100,100,0.25,1
#brick_wall_explo,,SFX/Levels/Berlin_1/brick_explosion_00.wav,,0,0,10,150,,,,,full_vol,,,,,,,1,1,,2d,,,,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
#concrete_wall_explo,,SFX/Levels/Berlin_1/concrete_explo_00.wav,,0,0,10,150,,,,,full_vol,,,,,,,1,1,,2d,,,,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
iron_gate_explo,,SFX/Levels/Berlin_1/gate_explo_00.wav,,0.8,0.8,500,12000,,,,,full_vol,,,,,,,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
iron_gate_bash,,SFX/Levels/Berlin_1/gate/gate_impact_00.wav,,0.6,0.7,10,1000,,,,,full_vol,,curve3,,,,,1,1,,3d,,,,,,,,iron_gate_rattle,,,,,,,,,,,,,,,100,100,0.25,1
iron_gate_rattle,,SFX/Levels/Berlin_1/gate/rattle_##,,0.4,0.5,10,1000,,,,,full_vol,,curve3,,,,,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
iron_gate_open,,SFX/Levels/Berlin_1/gate/gate_break_00.wav,,0.6,0.7,10,2000,,,,,full_vol,,curve4,,,,,1,1,,3d,,,,,,,,iron_gate_open_rattle,,,,,,,,,,,,,,,100,100,0.25,1
iron_gate_open_rattle,,SFX/Levels/Berlin_1/gate/gate_break_01.wav,,0.6,0.7,10,2000,,,,,full_vol,,curve4,,,,,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
wood_door_kick,,SFX/Levels/Berlin_1/door/door_hit_00.wav,,1,1,100,1000,,,,,full_vol,,curve4,,,,,1,1,,3d,,,,,,,,,,,,,0.3,,,,,,,,,,100,100,0.25,1
wood_door_break,,SFX/Levels/Berlin_1/door/door_hit_00.wav,,1,1,100,1000,,,,,full_vol,,curve4,,,,,1,1,,3d,,,,,,,,,,,,,0.3,,,,,,,,,,100,100,0.25,1
#metal_bench_flip,,SFX/Levels/Berlin_1/bench_flip_00.wav,,1,1,10,150,,,,,full_vol,,,,,,,1,1,,2d,,,,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
whistle_blow,,SFX/Levels/Berlin_1/russian_whistle_00.wav,,0.5,0.5,10,500,,,,,full_vol,,,,,,,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
#megaphone,,SFX/Levels/Berlin_1/russian_megaphone_00.wav,,0,0,10,150,,,,,full_vol,,,,,,,1,1,,2d,,,,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
#bunker_explo,,SFX/Levels/Berlin_1/bunker_explo_00.wav,,1,1,10,150,,,,,full_vol,,,,,,,1,1,,2d,,,,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
tank_wall,,SFX/Destruction/Explosion_Debris/Rock_##,,1,1,10,150,,,,,full_vol,,,,,,,1,1,,2d,,,,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
#bell_toll1,,SFX/Levels/Berlin_1/bell/toll_00.wav,,1,1,500,4000,,,,,full_vol,,curve4,,,,,1,1,,3d,,,,,,,,,,,,,0.1,,,,0.05,,,,,,100,100,0.25,1
#bell_toll2,,SFX/Levels/Berlin_1/bell/toll_01.wav,,1,1,500,4000,,,,,full_vol,,curve4,,,,,1,1,,3d,,,,,,,,,,,,,0.1,,,,0.05,,,,,,100,100,0.25,1
#bell_toll3,,SFX/Levels/Berlin_1/bell/toll_02.wav,,1,1,500,4000,,,,,full_vol,,curve4,,,,,1,1,,3d,,,,,,,,,,,,,0.1,,,,0.05,,,,,,100,100,0.25,1
#bell_toll4,,SFX/Levels/Berlin_1/bell/toll_03.wav,,1,1,500,4000,,,,,full_vol,,curve4,,,,,1,1,,3d,,,,,,,,,,,,,0.1,,,,0.05,,,,,,100,100,0.25,1
#bell_toll5,,SFX/Levels/Berlin_1/bell/toll_04.wav,,1,1,500,4000,,,,,full_vol,,curve4,,,,,1,1,,3d,,,,,,,,,,,,,0.1,,,,0.05,,,,,,100,100,0.25,1
#bell_toll6,,SFX/Levels/Berlin_1/bell/toll_05.wav,,1,1,500,4000,,,,,full_vol,,curve4,,,,,1,1,,3d,,,,,,,,,,,,,0.1,,,,0.05,,,,,,100,100,0.25,1
#bell_toll_end,,SFX/Levels/Berlin_1/bell/toll_end_00.wav,,1,1,500,4000,,,,,full_vol,,curve4,,,,,1,1,,3d,,,,,,,,,,,,,0.1,,,,0.05,,,,,,100,100,0.25,1
#stuka_flyby,,SFX/Levels/Peleliu_1/Evt_Naplam/planes/ARPL_P47_By13.wav,,1,1,500,45000,,,,,full_vol,,curve4,,,,,1,1,,3d,streamed,,,,,,,,,300,,,0.3,,,,,,,,,,100,100,0.25,1
#il2_flyby,,SFX/Levels/Peleliu_1/Evt_Naplam/planes/ARPL_P47_By04.wav,,1,1,500,45000,,,,,full_vol,,curve4,,,,,1,1,,3d,streamed,,,,,,,,,1000,,,0.3,,,,,,,,,,100,100,0.25,1
#stuka_get_hit,,SFX/Levels/Peleliu_1/dogfight/pel1a_corsair_get_hit.wav,,0.5,0.6,5000,125000,,,,,full_vol,,curve4,,,,,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
#stuka_falling,,SFX/Levels/Peleliu_1/planecrash/Pel1_PlaneByv3.wav,,1,1,5000,125000,,,,,full_vol,,curve4,,,,,1,1,,3d,,,,,,,,,,2000,,,0.3,,,,,,,,,,100,100,0.25,1
tank_wall_sound,,SFX\Levels\berlin_1\wall\tank_wall1.wav,,0.6,0.7,1000,8000,,,,,full_vol,,,,10000,,,1,1,,3d,,,,,,,,brick1,,,,,,,,,0.3,,,no,,,100,100,0.25,1
brick1,,SFX\Levels\berlin_1\wall\brick1.wav,,0.6,0.7,1000,8000,,,,,full_vol,,,,10000,,,1,1,,3d,,,,,,,,brick2,,750,,,,,,,0.3,,,no,,,100,100,0.25,1
brick2,,SFX\Levels\berlin_1\wall\brick2.wav,,0.6,0.7,1000,8000,,,,,full_vol,,,,10000,,,1,1,,3d,,,,,,,,brick3,,1500,,,,,,,0.3,,,no,,,100,100,0.25,1
brick3,,SFX\Levels\berlin_1\wall\brick3.wav,,0.6,0.7,1000,8000,,,,,full_vol,,,,10000,,,1,1,,3d,,,,,,,,,,2000,,,,,,,0.3,,,no,,,100,100,0.25,1
#imp_plane,,SFX/Levels/Peleliu_1/planecrash/Pel1_Plane_explo.wav,,1,1,5000,125000,,,,,full_vol,,curve4,,,,,1,1,,3d,,,,,,,,,,,,,0.3,,,,,,,,,,100,100,0.25,1
#weap_pnzr_fire,,SFX/Weapon/rpg/panzershreck/wpn_pnzr_mn_00.wav,,1,1,1000,15000,,,,,full_vol,,curve5,,,,,1,1,,3d,,,,0.7,,,,weap_pnzr_fire_rocket,,,,,0.5,,,,,,,,,,100,100,0.25,1
#weap_pnzr_fire_rocket,,SFX/Weapon/rpg/panzershreck/wpn_pnzr_mn_rocket_00.wav,,0.7,0.8,1000,15000,,,1,reject,full_vol,,curve4,,,,,1,1,,3d,,,,0.7,,,,,,,,,0.5,,,,,,,,,,100,100,0.25,1
#weap_pnzr_fire_plr_f,,SFX/Weapon/rpg/panzershreck/front_##,,0.7,0.8,500000,,,,,,full_vol,,curve3,,,,,1,1,,2d,,,,0.85,,,,weap_pnzr_fire_plr_r,,,wpn_fnt,,,,,,,,,,,,100,100,0.25,1
#weap_pnzr_fire_plr_r,,SFX/Weapon/rpg/panzershreck/wpn_pnzr_st_r_00.wav,,0.65,0.75,500000,,,,,,full_vol,,curve3,,,,,1,1,,2d,,,,0.85,,,,weap_pnzr_fire_plr_sur,,,wpn_all,0.5,,,,,,,,,,,100,100,0.25,1
#weap_pnzr_fire_plr_sur,,SFX/Weapon/rpg/panzershreck/wpn_pnzr_sur_00.wav,,0.8,0.9,500000,,,,,,full_vol,,curve3,,,,,1,1,,2d,,,,0.85,,,,weap_pnzr_fire_action_plr,,,wpn_all,,,,,,,,,,,,100,100,0.25,1
#weap_pnzr_fire_action_plr,,SFX/Weapon/rpg/panzershreck/wpn_pnzr_st_act_00.wav,,0.6,0.7,500000,,,,,,full_vol,,curve3,,,,,1,1,,2d,,,,0.85,,,,sub_thump_rpg,,,wpn_all,,,,,,,,,,,,100,100,0.25,1
#rpg_impact_boom,,SFX/projectile/rpg/boom_00.wav,,1,1,1000,15000,,,,,full_vol,,curve5,,,,,1,1,,3d,,,,0.7,,,,rpg_impact_crack,,,,,0.5,,,,,,,,,,100,100,0.25,1
#rpg_impact_crack,,SFX/projectile/rpg/crack_01.wav,,1,1,1000,15000,,,,,full_vol,,curve5,,,,,1,1,,3d,,,,0.7,,,,rpg_impact_sur,,,,,0.5,,,,,,,,,,100,100,0.25,1
#rpg_impact_sur,,SFX/projectile/rpg/boom_sur_00.wav,,1,1,1000,15000,,,,,full_vol,,curve5,,,,,1,1,,2d,,,,0.7,,,,,,,wpn_rear,,,,,,,,,,,,100,100,0.25,1
#rpg_rocket,,SFX/projectile/rpg/rocket_00.wav,,1,1,100,2000,,,,,full_vol,,curve0,,,,,1,1,,3d,,,looping,0.7,,,,,,,,,,,,,,,,,,,100,100,0.25,1
train_front_st,,Stream\Level\ber1\train\train_front_st.wav,,0.7,0.7,,,,,,,full_vol,,,,,,,1,1,,2d,streamed,,,0.8,,,,train_rear_st,,,,,,,,,0,,,,,,100,100,0.25,1
