feedback1,,,SFX\Levels\see1\feedback\feedback1.wav,,0.75,0.75,500,2500,,,,,ambience,,,1,5000,,,,,,3d,,,,0.8,,,pcm,,,,,,,,,,0,,no,no,,,75,90,0.25,1
feedback2,,,SFX\Levels\see1\feedback\feedback2.wav,,0.75,0.75,500,2500,,,,,ambience,,,1,5000,,,,,,3d,,,,0.8,,,pcm,,,500,,,,,,,0,,no,no,,,75,90,0.25,1
feedback3,,,SFX\Levels\see1\feedback\feedback3.wav,,0.75,0.75,500,2500,,,,,ambience,,,1,5000,,,,,,3d,,,,0.8,,,pcm,,,700,,,,,,,0,,no,no,,,75,90,0.25,1

fly_by3,,,SFX\Vehicles\Planes\P47\ARPL_P47_By10.wav,1,0.4,0.4,5000,10000,,,,,full_vol,,,,,,,,,,3d,,,,0.8,,,,,,,,,,,,,0,,,no,,,100,100,0.25,1
fly_by3,,,SFX\Vehicles\Planes\P47\ARPL_P47_By12.wav,2,0.4,0.4,5000,10000,,,,,full_vol,,,,,,,,,,3d,,,,0.8,,,,,,,,,,,,,0,,,no,,,100,100,0.25,1
fly_by3,,,SFX\Vehicles\Planes\P47\ARPL_P47_By07.wav,3,0.4,0.4,5000,10000,,,,,full_vol,,,,,,,,,,3d,,,,0.8,,,,,,,,,,,,,0,,,no,,,100,100,0.25,1
plane_shot,,,SFX\Levels\see1\plane_shot_##,,0.8,0.8,5000,10000,,,,,full_vol,,,,,,,,,,3d,,,,0.8,,,,,,,,,,,,,0,,,no,,,100,100,0.25,1
#murder_of_crows,,,SFX\Levels\see1\flock\bird_flock.wav,,0.7,0.7,100,2000,,,,,ambience,,,,,,,,,,3d,,,,,,,,,,,,,,,,,0,,,no,,,75,100,0.5,0.8
bomb1L,,,SFX\Levels\see1\bomb\bomb1L.wav,,1,1,10000,20000,,,,,full_vol,,,,21000,,,,,,3d,,,,,,,,bomb1R,,,,0.5,,,,,0,,,no,left_player,10,75,100,0.5,0.8
bomb1R,,,SFX\Levels\see1\bomb\bomb1R.wav,,1,1,10000,20000,,,,,full_vol,,,,21000,,,,,,3d,,,,,,,,,,,,0.5,,,,,0,,,no,right_player,10,75,100,0.5,0.8
bomb2L,,,SFX\Levels\see1\bomb\bomb2L.wav,,1,1,10000,20000,,,,,full_vol,,,,21000,,,,,,3d,,,,,,,,bomb2R,,,,0.5,,,,,0,,,no,left_player,10,75,100,0.5,0.8
bomb2R,,,SFX\Levels\see1\bomb\bomb2R.wav,,1,1,10000,20000,,,,,full_vol,,,,21000,,,,,,3d,,,,,,,,,,,,0.5,,,,,0,,,no,right_player,10,75,100,0.5,0.8
plane_bomb1L,,,Stream\Level\see1\bomb\see1_bombL.wav,,1,1,10000,20000,,,,,full_vol,,,,21000,,,,,,3d,streamed,,,,,,,plane_bomb1R,,,,0.5,,,,,0,,,no,left_player,10,75,100,0.5,0.8
plane_bomb1R,,,Stream\Level\see1\bomb\see1_bombR.wav,,1,1,10000,20000,,,,,full_vol,,,,21000,,,,,,3d,streamed,,,,,,,,,,,0.5,,,,,0,,,no,right_player,10,75,100,0.5,0.8

rifle_catch,,,SFX\Levels\see1\intro\rifle_catch.wav,,0.75,0.75,500,2500,,,,,full_vol,,,1,5000,,,,,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,75,90,0.25,1
rifle_handle1,,,SFX\Levels\see1\intro\rifle_toss.wav,,1,1,500,2500,,,,,full_vol,,,1,5000,,,,,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,75,90,0.25,1
rifle_handle2,,,SFX\Levels\see1\intro\rifle_toss2.wav,,1,1,500,2500,,,,,full_vol,,,1,5000,,,,,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,75,90,0.25,1
rifle_handle3,,,SFX\Levels\see1\intro\rifle_toss3.wav,,1,1,500,2500,,,,,full_vol,,,1,5000,,,,,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,75,90,0.25,1
rifle_pickup1,,,SFX\Levels\see1\intro\rifle_pickup.wav,,1,1,500,2500,,,,,full_vol,,,1,5000,,,,,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,75,90,0.25,1
rifle_pickup2,,,SFX\Levels\see1\intro\rifle_pickup2.wav,,1,1,500,2500,,,,,full_vol,,,1,5000,,,,,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,75,90,0.25,1
rifle_pickup3,,,SFX\Levels\see1\intro\rifle_pickup3.wav,,1,1,500,2500,,,,,full_vol,,,1,5000,,,,,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,75,90,0.25,1
cock,,,SFX\Levels\see1\intro\mp40_cock.wav,,1,1,500,2500,,,,,full_vol,,,1,5000,,,,,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,75,90,0.25,1
search_body,,,SFX\Levels\see1\intro\search_body.wav,,0.75,0.75,500,2500,,,,,full_vol,,,1,5000,,,,,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,75,90,0.25,1
roll_body,,,SFX\Levels\see1\intro\roll_body.wav,,0.75,0.75,500,2500,,,,,full_vol,,,1,5000,,,,,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,75,90,0.25,1
fall_knees,,,SFX\Levels\see1\intro\fall_knees.wav,,1,1,500,2500,,,,,full_vol,,,1,5000,,,,,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,75,90,0.25,1
fall_body,,,SFX\Levels\see1\intro\fall_body.wav,,1,1,500,2500,,,,,full_vol,,,1,5000,,,,,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,75,90,0.25,1
rifle_set_down,,,SFX\Levels\see1\intro\rifle_table.wav,,0.75,0.75,500,2500,,,,,full_vol,,,1,5000,,,,,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,75,90,0.25,1
pocket_watch,,,SFX\Levels\see1\intro\pocket_watch.wav,,0.75,0.75,500,2500,,,,,full_vol,,,1,5000,,,,,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,75,90,0.25,1
pocket_watch_catch,,,SFX\Levels\see1\intro\pocket_watch_catch.wav,,0.75,0.75,500,2500,,,,,full_vol,,,1,5000,,,,,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,75,90,0.25,1
pocket_watch_throw,,,SFX/null.wav,,0.5,0.5,500,2500,,,,,full_vol,,,1,5000,,,,,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,75,90,0.25,1
pocket_watch_null,,,SFX/null.wav,,0.5,0.5,500,2500,,,,,full_vol,,,1,5000,,,,,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,75,90,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
face_kick,,,SFX\Levels\see1\intro\face_kickf.wav,,0.8,0.8,,,,,,,full_vol,,,,,,,,,,2d,,,,,,,,face_kickr,,,wpn_fnt,0.5,,,,,0,,,no,,,100,100,0.25,1
face_kickr,,,SFX\Levels\see1\intro\face_kickr.wav,,0.8,0.8,,,,,,,full_vol,,,,,,,,,,2d,,,,,,,,face_kick_grunt,,,wpn_rear,0.5,,,,,0,,,no,,,100,100,0.25,1
face_punch,,,SFX\Levels\see1\intro\face_punch.wav,,0.8,0.8,,,,,,,full_vol,,,,,,,,,,2d,,,,,,,,face_punch_grunt,,,wpn_all,0.5,,,,,0,,,no,,,100,100,0.25,1
face_kick_grunt,,,battlechatter\ru\0\RU_0_pain_medium_01.wav,,0.8,0.8,,,,,,,full_vol,,,,,,,,,,2d,,,,,,,,,,50,,0.5,,,,,0,,,no,,,100,100,0.25,1
face_punch_grunt,,,battlechatter\ru\0\RU_0_pain_small_00.wav,,0.8,0.8,,,,,,,full_vol,,,,,,,,,,2d,,,,,,,,,,75,,0.5,,,,,0,,,no,,,100,100,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand_grab,,,SFX\Levels\see1\intro\hand_grab.wav,,0.5,0.5,,,,,,,full_vol,,,,,,,,,,2d,,,,,,,,,,,wpn_fnt,0.5,,,,,0,,,no,,,100,100,0.25,1
ber3b_gun_impct,,,SFX\Levels\ber3b\exert\gun_##,,1,1,1000,3000,,,,,full_vol,,curve0,,,,,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
train_door,,,Stream\Level\ber1\train\train_door.wav,,1,1,100,500,,,,,full_vol,,curve5,,,,,1,1,,3d,streamed,,,,,,,,,,,,,,,,0,,,,,,100,100,0.25,1
#Red Barrels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

barrel_fuse,,,SFX/Destruction/redbarrrel/flare_##, ,0.8,1,250,5000,,,,,explosion,,,,,,,0.8,1.2,,3d,,,,0.85,,,,bomb_far_falloff_glo,,,,,,,,,,,,,,,50,90,0.65,0.8
exp_barrel,,,SFX/Destruction/redbarrrel/exp_redbarrel_##,,0.8,1,1000,7000,,,,,explosion,,,,,,,0.8,1.2,,3d,,,,0.85,,,,bomb_far_falloff_glo,,,,,,,,,,,,,,,90,100,0.25,1
rocket_dirt,,,SFX/Destruction/explosion_main_##,,0.8,0.9,1000,7000,,,,,explosion,,,,,,,0.9,1.1,,3d,,,,,see1,,,bomb_far_falloff_glo,,,,0.05,0.25,,,,,,,,,,90,95,0.25,1
see1_fire,,,SFX\Destruction\fires\small_##,,0.5,0.5,500,4000,,,,,explosion,,curve4,,8000,,curve2,0.9,1.1,pitch,3d,,,looping,,,,,,,,,,,,,,0,,,,,,50,80,0.15,0.85
see1_fire_med,,,SFX\Destruction\fires\med_##,,0.5,0.5,500,4000,,,,,explosion,,curve4,,8000,,curve2,0.9,1.1,pitch,3d,,,looping,,,,,,,,,,,,,,0,,,,,,50,80,0.15,0.85

fire_manager_0,,,SFX/Destruction/fires/dynamic/dyn_fire_00.wav,,1,1,500,1500,,,,,ambience,,,,850,,curve2,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,25,80,0.25,1
fire_manager_1,,,SFX/Destruction/fires/dynamic/dyn_fire_01.wav,,1,1,500,1500,,,,,ambience,,,,850,,curve2,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,25,80,0.25,1
fire_manager_2,,,SFX/Destruction/fires/dynamic/dyn_fire_02.wav,,1,1,500,1500,,,,,ambience,,,,850,,curve2,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,25,80,0.25,1
fire_manager_3,,,SFX/Destruction/fires/dynamic/dyn_fire_03.wav,,1,1,500,1500,,,,,ambience,,,,850,,curve2,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,25,80,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

# In Game coughing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coughing,,,battlechatter/us/1/US_1_coughing_00.wav,1,1,1,500,1500,,,,,voice,,curve5,,1000,,,1,1,,3d,streamed,,,,see1,,,,,,,,,,,,,,,,,,5,50,0.25,1
coughing,,,battlechatter/us/1/US_1_coughing_01.wav,2,1,1,500,1500,,,,,voice,,curve5,,1000,,,1,1,,3d,streamed,,,,see1,,,,,,,,,,,,,,,,,,5,50,0.25,1
coughing,,,battlechatter/us/1/US_1_coughing_02.wav,3,1,1,500,1500,,,,,voice,,curve5,,1000,,,1,1,,3d,streamed,,,,see1,,,,,,,,,,,,,,,,,,5,50,0.25,1
coughing,,,battlechatter/us/1/US_1_coughing_03.wav,4,1,1,500,1500,,,,,voice,,curve5,,1000,,,1,1,,3d,streamed,,,,see1,,,,,,,,,,,,,,,,,,5,50,0.25,1
coughing,,,battlechatter/us/1/US_1_coughing_04.wav,5,1,1,500,1500,,,,,voice,,curve5,,1000,,,1,1,,3d,streamed,,,,see1,,,,,,,,,,,,,,,,,,5,50,0.25,1
coughing,,,battlechatter/us/1/US_1_coughing_05.wav,6,1,1,500,1500,,,,,voice,,curve5,,1000,,,1,1,,3d,streamed,,,,see1,,,,,,,,,,,,,,,,,,5,50,0.25,1
coughing,,,battlechatter/us/1/US_1_coughing_06.wav,7,1,1,500,1500,,,,,voice,,curve5,,1000,,,1,1,,3d,streamed,,,,see1,,,,,,,,,,,,,,,,,,5,50,0.25,1
coughing,,,battlechatter/us/1/US_1_coughing_07.wav,8,1,1,500,1500,,,,,voice,,curve5,,1000,,,1,1,,3d,streamed,,,,see1,,,,,,,,,,,,,,,,,,5,50,0.25,1
coughing,,,battlechatter/us/1/US_1_death_medium_00.wav,9,1,1,500,1500,,,,,voice,,curve5,,1000,,,1,1,,3d,streamed,,,,see1,,,,,,,,,,,,,,,,,,5,50,0.25,1
coughing,,,battlechatter/us/1/US_1_death_medium_01.wav,10,1,1,500,1500,,,,,voice,,curve5,,1000,,,1,1,,3d,streamed,,,,see1,,,,,,,,,,,,,,,,,,5,50,0.25,1
coughing,,,battlechatter/us/1/US_1_death_medium_02.wav,11,1,1,500,1500,,,,,voice,,curve5,,1000,,,1,1,,3d,streamed,,,,see1,,,,,,,,,,,,,,,,,,5,50,0.25,1
coughing,,,battlechatter/us/1/US_1_death_medium_03.wav,12,1,1,500,1500,,,,,voice,,curve5,,1000,,,1,1,,3d,streamed,,,,see1,,,,,,,,,,,,,,,,,,5,50,0.25,1

# In Game Dialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See1_INT_000A_GMS1,,,voiceovers\see1\mast\See1_INT_000A_GMS1.wav,,1,1,500,2800,,,,,voice,,,,3200,,,1,1,,3d,primed,,,master,see1,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1
See1_INT_001A_GMS1,,,voiceovers\see1\mast\See1_INT_001A_GMS1.wav,,1,1,500,2800,,,,,voice,,,,3200,,,1,1,,3d,primed,,,master,see1,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1
See1_INT_002A_GMS3,,,voiceovers\see1\mast\See1_INT_002A_GMS3_A.wav,,1,1,500,2800,,,,,voice,,,,3200,,,1,1,,3d,primed,,,master,see1,,,,,,,,1,,,,0.2,,,,,,100,100,0.25,1
