amb_light_surge,,SFX\Levels\Berlin_2\flicker_##,,0.75,0.75,400,1500,,,2,oldest,full_vol,,curve4,1,1800,,curve4,,,,3d,,,,,,,,,,,,,,,,,0.3,,,,,,10,40,0.25,1
subway_generator,,SFX\Levels\Berlin_2\generator\ber2_gen.wav,,0.7,0.7,400,1500,,,,,full_vol,,curve3,1,1800,,curve4,0.95,1.05,,3d,,,looping,,,,,,,,,,,,,,0.3,,,,,,10,40,0.25,1
subway_generator_start,,SFX\Levels\Berlin_2\generator\ber2_gen_start.wav,,0.7,0.7,400,1500,,,,,full_vol,,curve3,1,1800,,curve4,0.95,1.05,,3d,,,,,,,,,,,,,,,,,0.3,,,,,,10,40,0.25,1
subway_generator_end,,SFX\Levels\Berlin_2\generator\ber2_gen_end.wav,,0.7,0.7,400,1500,,,,,full_vol,,curve3,1,1800,,curve4,0.95,1.05,,3d,,,,,,,,,,,,,,,,,0.3,,,,,,10,40,0.25,1
subway_debris1,,Stream\Level\ber2\debris_fall\debris_fall.wav,,1,1,,,3,reject,,,explosion,,,1,,,,0.95,1.05,,2d,streamed,0.7,,,,,pcm,subway_debris2,,,wpn_fnt,,,,,,,,,,,,10,40,0.25,1
subway_debris2,,Stream\Level\ber2\debris_fall\debris_fall.wav,,1,1,,,3,reject,,,explosion,,,1,,,,0.95,1.05,,2d,streamed,0.7,,,,,pcm,,,500,wpn_rear,,,,,,,,,,,,10,40,0.25,1


bomb_close,,SFX/Destruction/Explosion_Impact/Explosion_Impact_00.wav,1,0.45,0.75,50,1500,,,,,ambience,,,,,,,,,,2d,,,,,,,,bomb_falloff,,,,,,,,,,,,,,,10,25,0.25,0.75
bomb_close,,SFX/Destruction/Explosion_Impact/Explosion_Impact_01.wav,2,0.45,0.75,50,1500,,,,,ambience,,,,,,,,,,2d,,,,,,,,bomb_falloff,,,,,,,,,,,,,,,10,25,0.25,0.75
bomb_medium,,SFX/Destruction/Explosion_Impact/Explosion_Impact_00.wav,1,0.25,0.35,100,500,,,,,ambience,,,,,,,,,,3d,,,,,,,,bomb_far_falloff,,,,,,,,,,,,,,,10,25,0.25,0.75
bomb_medium,,SFX/Destruction/Explosion_Impact/Explosion_Impact_01.wav,2,0.25,0.35,100,500,,,,,ambience,,,,,,,,,,3d,,,,,,,,bomb_far_falloff,,,,,,,,,,,,,,,10,25,0.25,0.75
bomb_falloff,,SFX/Destruction/Explosion_Falloff/Explosion_Falloff_00.wav,1,0.9,0.95,100,4500,,,,,ambience,,,,,,,,,,2d,,,,,,,,,,,,,,,,,,,,,,,10,25,0.25,0.75
bomb_falloff,,SFX/Destruction/Explosion_Falloff/Explosion_Falloff_01.wav,2,0.9,0.95,100,4500,,,,,ambience,,,,,,,,,,2d,,,,,,,,,,,,,,,,,,,,,,,10,25,0.25,0.75

bomb_far,,SFX/Amb/bomb_far_##,,0.15,0.25,50,150,,,,,ambience,,,,,,,,,,3d,,,,0.5,,,,bomb_far_falloff,,,,,,,,,,,,,,,10,25,0.25,0.75
bomb_far_falloff,,SFX/Destruction/Explosion_Falloff/Explosion_Falloff_00.wav,1,0.65,0.75,100,4500,,,,,ambience,,,,,,,,,,3d,,,,0.5,,,,,,500,,,,,,,,,,,,,10,25,0.25,0.75
bomb_far_falloff,,SFX/Destruction/Explosion_Falloff/Explosion_Falloff_01.wav,2,0.65,0.75,100,4500,,,,,ambience,,,,,,,,,,3d,,,,0.5,,,,,,500,,,,,,,,,,,,,10,25,0.25,0.75

#fly_by,,SFX/Vehicles/Planes/P47/fly_by/fly_by_00.wav,1,0.65,1,50,7500,,,,,ambience,,,,,,,,,,3d,streamed,,,,,,,,,,,,,,,,,,,,,,10,50,0.25,0.75
#fly_by,,SFX/Vehicles/Planes/P47/fly_by/fly_by_01.wav,2,0.65,1,50,7500,,,,,ambience,,,,,,,,,,3d,streamed,,,,,,,,,,,,,,,,,,,,,,10,50,0.25,0.75
#fly_by,,SFX/Vehicles/Planes/P47/fly_by/fly_by_02.wav,3,0.65,1,50,7500,,,,,ambience,,,,,,,,,,3d,streamed,,,,,,,,,,,,,,,,,,,,,,10,50,0.25,0.75
#fly_by,,SFX/Vehicles/Planes/P47/fly_by/fly_by_03.wav,4,0.65,1,50,7500,,,,,ambience,,,,,,,,,,3d,streamed,,,,,,,,,,,,,,,,,,,,,,10,50,0.25,0.75
fly_by,,SFX/Vehicles/Planes/P47/fly_by/fly_by_04.wav,,0.65,1,50,7500,,,,,ambience,,,,,,,,,,3d,,,,,,,,,,,,,,,,,,,,,,,10,50,0.25,0.75
rocket_dirt,,SFX/Destruction/Explosion_Debris/dirt_##,,0.8,0.9,500,4000,,,,,explosion,,,,,,,0.9,1.1,,3d,,,,0.5,,,,katy_explode_dirt,,,,,,,,,,,,,,,90,95,0.25,1
#fake_battle,,Stream/Level/Pel1/linebattle/line_dist_battle.wav,,0.3,0.3,100,10000,,,,,ambience,,,,,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,,,,no,,,100,100,0.25,1
#fake_battle2,,Stream/level/ber3b/end_loop1.wav,,0.5,0.5,500,2000,,,,,ambience,,,,2000,,,,,,3d,streamed,,looping,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
#ber2_radio,,Stream/Level/Ber2/mayenne_Door.wav,,0.5,0.5,10,200,,,,,ambience,,,,,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,,,,,,,100,100,0.25,1

#dist_troops_german,,SFX/Amb/Troops/Dist_Troops_Pipe.wav,,1,1,500,1000,,,,,ambience,,,,,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,,,,,,,100,100,0.25,1
rain_metal,,SFX/Amb/rain/on_stuff/on_tin/on_tin_00.wav,1,0.75,0.85,100,900,,,,,ambience,,curve2,,1000,,curve1,0.9,1.05,variant,3d,,,looping,,,,pcm,,,,,,,,,,0.3,,,,,,10,40,0.25,0.8
rain_metal,,SFX/Amb/rain/on_stuff/on_tin/on_tin_01.wav,2,0.75,0.85,100,900,,,,,ambience,,curve2,,1000,,curve1,0.9,1.05,variant,3d,,,looping,,,,pcm,,,,,,,,,,0.3,,,,,,10,40,0.25,0.8
rain_roof1,,SFX\Amb\rain\on_stuff\on_roof\roof_rain_00.wav,,0.75,0.85,100,900,,,,,ambience,,curve2,,1000,,curve1,0.9,1.05,,3d,,,looping,,,,pcm,,,,,,,,,,0.3,,,,,,10,40,0.25,0.8
rain_roof2,,SFX\Amb\rain\on_stuff\on_roof\roof_rain_01.wav,,0.65,0.85,100,900,,,,,ambience,,curve2,,1000,,curve1,0.9,1.05,,3d,,,looping,,,,pcm,,,,,,,,,,0.3,,,,,,10,40,0.25,0.8
rain_water_tower,,SFX\Amb\rain\on_stuff\on_can\can_rain_00.wav,,0.85,0.9,100,900,,,,,ambience,,curve2,,1000,,curve1,0.9,1.05,,3d,,,looping,,,,pcm,,,,,,,,,,,,,,,,10,40,0.25,0.8
rain_stone_floor,,SFX\Amb\rain\on_stuff\on_stone\stone_rain_00.wav,,0.65,0.75,100,900,,,,,ambience,,curve2,,1000,,curve1,0.85,1.1,,3d,,,looping,,,,pcm,,,,,,,,,,,,,,,,10,40,0.25,0.8
rain_window,,SFX/Amb/rain/on_stuff/on_window/on_window_00.wav,,0.85,0.95,100,900,,,,,ambience,,curve2,,1000,,curve1,0.9,1.05,,3d,,,looping,,,,pcm,,,,,,,,,,0.2,,,,,,10,40,0.25,0.8
rain_pavement1,,SFX\Amb\rain\on_stuff\on_pave\pave_rain_00.wav,,0.85,0.95,100,800,,,,,ambience,,curve2,,1000,,curve1,0.8,1.1,pitch,3d,,,looping,,,,pcm,,,,,,,,,,0.2,,,,,,10,40,0.25,0.8
rain_pavement2,,SFX\Amb\rain\on_stuff\on_pave\pave_rain_01.wav,,0.85,0.95,100,800,,,,,ambience,,curve2,,1000,,curve1,0.8,1.1,pitch,3d,,,looping,,,,pcm,,,,,,,,,,0.2,,,,,,10,40,0.25,0.8
helmet_rain_door,,Stream\Level\ber2\helmet_rain_door.wav,,1,1,50,100,,,,,full_vol,,,0,,,,,,,3d,,,looping,,,,pcm,,,,,,,,,,,,,,,,10,40,0.25,0.8
waterfall,,SFX\Amb\water\waterfall.wav,,0.95,1,100,900,,,,,ambience,,curve2,,1000,,curve1,0.9,1.05,variant,3d,,,looping,,,,pcm,,,,,,,,,,0.3,,,,,,10,40,0.25,0.8

rain_door,,SFX\Amb\rain\on_stuff\door_rain\door_rain_00.wav,1,0.75,0.75,100,1000,,,,,ambience,,,,1100,,,,,,3d,,,looping,0.75,,,pcm,,,,,,,,,,,,,,,,5,40,0.25,1
rain_door,,SFX\Amb\rain\on_stuff\door_rain\door_rain_01.wav,2,0.75,0.75,100,1000,,,,,ambience,,,,1100,,,,,,3d,,,looping,0.75,,,pcm,,,,,,,,,,,,,,,,5,40,0.25,1
#rain_door,,SFX\Amb\rain\on_stuff\door_rain\door_rain_02.wav,3,0.5,0.5,100,1000,,,,,ambience,,,,1100,,,,,,3d,,,looping,0.5,,,,,,,,,,,,,,,,,,,5,40,0.25,1
#rain_door,,SFX\Amb\rain\on_stuff\door_rain\door_rain_03.wav,4,0.5,0.5,100,1000,,,,,ambience,,,,1100,,,,,,3d,,,looping,0.5,,,,,,,,,,,,,,,,,,,5,40,0.25,1
#rain_door,,SFX\Amb\rain\on_stuff\door_rain\door_rain_04.wav,5,0.5,0.5,100,1000,,,,,ambience,,,,1100,,,,,,3d,,,looping,0.5,,,,,,,,,,,,,,,,,,,5,40,0.25,1

helmet_rainf,,Stream\Level\ber2\helmet_rainf.wav,,0.6,0.6,,,,,,,full_vol,,,0,,,,,,,2d,,,looping,0.8,,,pcm,helmet_rainr,,,wpn_fnt,,,,,,,,,,,,80,90,0.25,1
helmet_rainr,,Stream\Level\ber2\helmet_rainr.wav,,0.6,0.6,,,,,,,full_vol,,,0,,,,,,,2d,,,looping,0.8,,,pcm,rain_gun,,,wpn_rear,,,,,,,,,,,,80,90,0.25,1
bathroom_drip,,SFX\Amb\rain\on_stuff\drip\drip_00.wav,,1,1,400,500,,,,,ambience,,,,,,,,,,3d,,,looping,,,,pcm,,,,,,,,,,,,,,,,10,50,0.25,1
rain_gun,,SFX\Amb\rain\on_stuff\on_gun\rain_gun.wav,,0.7,0.7,,,,,,,ambience,,,0,,,,,,,2d,,,looping,0.8,,,pcm,,,,all_center,,1,,,,,,,,,,80,90,0.25,1
radio,,sfx/levels/mp_nachtfeuer/german_radio_loop.wav,,0.5,0.5,100,1000,,,,,ambience,,,,1100,,,,,,3d,,,looping,0.8,,,,,,,,,,,,,,,,,,,10,60,0.25,1
gramophone,,Stream\Level\ber2\record\requiem2.wav,,1,1,500,5000,,,,,music,,,1,7000,,curve2,,,,3d,streamed,,looping,0.8,,,,,,,,,,,,,,,,,,,100,100,0.25,1
propaganda_a,,voiceovers\vfx\speech\speech_01.wav,,0.75,0.75,1000,3000,,,,,explosion,,,1,6000,,curve4,,,,3d,,,looping,0.8,,,,,,,,,,,,,0.6,,,yes,,,60,80,0.25,1
# Morse code for the demo to be changed to original after.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#morse_code,,SFX\Levels\Berlin_2\code\morse_code.wav,,0.7,0.7,500,2000,,,,,full_vol,,,,4000,,,,,,3d,,,looping,0.5,,,,,,,,,,,,,,,,,,,10,60,0.25,1
morse_code,,SFX\Levels\Berlin_2\code\morse_code.wav,,0.7,0.7,500,2000,,,,,full_vol,,,,4000,,,,,,3d,,,looping,0.8,,,,,,,,,,,,,,,,,,,10,40,0.25,1
speaker_break,,SFX\Levels\Berlin_2\wave\bulb_break_00.wav,1,1,1,2000,5000,,,,,full_vol,,,1,6000,,,,,,3d,,,,,,,,feedback,,,,,,,,,0,,no,no,,,100,100,0.25,1
speaker_break,,SFX\Levels\Berlin_2\wave\bulb_break_01.wav,2,1,1,2000,5000,,,,,full_vol,,,1,6000,,,,,,3d,,,,,,,,feedback,,,,,,,,,0,,no,no,,,100,100,0.25,1
speaker_break,,SFX\Levels\Berlin_2\wave\bulb_break_02.wav,3,1,1,2000,5000,,,,,full_vol,,,1,6000,,,,,,3d,,,,,,,,feedback,,,,,,,,,0,,no,no,,,100,100,0.25,1
feedback,,SFX\Levels\see1\feedback\feedback1.wav,1,0.75,0.75,500,2500,,,,,ambience,,,1,5000,,,,,,3d,,,,,,,,,,500,,,,,,,0,,no,no,,,75,90,0.25,1
feedback,,SFX\Levels\see1\feedback\feedback2.wav,2,0.75,0.75,500,2500,,,,,ambience,,,1,5000,,,,,,3d,,,,,,,,,,500,,,,,,,0,,no,no,,,75,90,0.25,1
# Zone 1 city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


# Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_rodents,,SFX/Amb/animals/Rodents_##,,0.9,1,250,2500,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,10,30,0.25,0.75


#Interior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#amb_wood_dust,,SFX/Amb/debris/wood_dust/wood_dust_00.wav,1,0.4,0.8,10,150,,,,,ambience,,,,,,,0.9,1.1,,2d,,,,,,,,amb_stone_dust,,5500,,,,,,,,,,,,,10,50,0.25,0.75
#amb_wood_dust,,SFX/Amb/debris/wood_dust/wood_dust_01.wav,2,0.4,0.8,10,150,,,,,ambience,,,,,,,0.9,1.1,,2d,,,,,,,,amb_stone_dust,,5500,,,,,,,,,,,,,10,50,0.25,0.75
#amb_wood_small,,SFX/Amb/debris/wood_tiny_##,,0.4,0.8,10,150,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,10,50,0.25,0.75
#amb_wood_boards,,SFX/Amb/debris/wood_med_##,,0.4,0.8,100,500,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,10,50,0.25,0.75
#amb_wood_creak,,SFX/Amb/debris/wood_bend_##,,0.4,0.8,100,500,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,10,50,0.25,0.75
#Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#amb_stone_dust,,SFX/Amb/debris/rock_dust/rock_dust_00.wav,,0.4,0.8,10,150,,,,,ambience,,,,,,,0.9,1.1,,2d,,,,,,,,,,6000,,,,,,,,,,,,,10,50,0.25,0.75
#amb_stone_small,,SFX/Amb/debris/rock_tiny/rock_tiny_00.wav,,0.4,0.8,10,150,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,10,50,0.25,0.75
#amb_stone_med,,SFX/Amb/debris/rock_med_##,,0.4,0.8,10,150,,,,,ambience,,,,,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,10,50,0.25,0.75
#Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_water_drips,,SFX\Amb\amb_drip\amb_drip_00.wav,1,0.8,1,100,450,,,,,ambience,,curve2,,1000,,curve3,0.9,1.05,,3d,,,,,,,,,,,,,,,,,,,,,,,5,25,0.25,0.75
amb_water_drips,,SFX\Amb\amb_drip\amb_drip_01.wav,2,0.8,1,100,450,,,,,ambience,,curve2,,1000,,curve3,0.9,1.05,,3d,,,,,,,,,,,,,,,,,,,,,,,5,25,0.25,0.75
amb_water_drips,,SFX\Amb\amb_drip\amb_drip_02.wav,3,0.8,1,100,450,,,,,ambience,,curve2,,1000,,curve3,0.9,1.05,,3d,,,,,,,,,,,,,,,,,,,,,,,5,25,0.25,0.75
amb_water_drips,,SFX\Amb\amb_drip\amb_drip_03.wav,4,0.8,1,100,450,,,,,ambience,,curve2,,1000,,curve3,0.9,1.05,,3d,,,,,,,,,,,,,,,,,,,,,,,5,25,0.25,0.75
water_pipe,,sfx\levels\ber3b\pipes\water_loop.wav,,0.85,0.95,50,475,,,,,ambience,,curve2,,1000,,curve3,0.9,1.05,,3d,,,looping,,,,,,,,,,,,,,,,,,,,5,25,0.25,0.75

#Scripted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

cough_player_self,,battlechatter\us\0\US_0_cough_generic_00.wav,,0.8,0.8,10,150,,,,,full_vol,,,,,,,1,1,,2d,streamed,,,,,,,,,,,,,,,,,,,,,,70,80,0.25,1
cough_player_a,,battlechatter\us\0\US_0_cough_generic_01.wav,,0.8,0.8,10,150,,,,,full_vol,,,,,,,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,70,80,0.25,1
cough_player_b,,battlechatter\us\0\US_0_cough_generic_02.wav,,0.8,0.8,10,150,,,,,full_vol,,,,,,,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,70,80,0.25,1

#sign falling placed on particle fx_dust_sign_support_break.efx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metal_break,,SFX/Levels/Berlin_2/sign/metal_break/metal_break_00.wav,1,0.8,1,100,2500,,,,,full_vol,,,,,,,0.9,1.1,,3d,,,,,,,,stone_break,,,,,,,,,,,,,,,100,100,0.25,1
metal_break,,SFX/Levels/Berlin_2/sign/metal_break/metal_break_01.wav,2,0.8,1,100,2500,,,,,full_vol,,,,,,,0.9,1.1,,3d,,,,,,,,stone_break,,,,,,,,,,,,,,,100,100,0.25,1
metal_break2,,SFX/Levels/Berlin_2/sign/metal_break/metal_break_00.wav,1,0.8,1,100,2500,,,,,full_vol,,,,,,,0.9,1.1,,3d,,,,,,,,stone_break2,,,,,,,,,,,,,,,100,100,0.25,1
metal_break2,,SFX/Levels/Berlin_2/sign/metal_break/metal_break_01.wav,2,0.8,1,100,2500,,,,,full_vol,,,,,,,0.9,1.1,,3d,,,,,,,,stone_break2,,,,,,,,,,,,,,,100,100,0.25,1

metal_creak,,SFX/Levels/Berlin_2/sign/metal_creak/metal_creak_00.wav,1,0.8,1,100,2500,,,,,full_vol,,,,,,,0.9,1.1,,3d,,,,,,,,sign_crash1,,100,,,,,,,,,,,,,100,100,0.25,1
metal_creak,,SFX/Levels/Berlin_2/sign/metal_creak/metal_creak_01.wav,2,0.8,1,100,2500,,,,,full_vol,,,,,,,0.9,1.1,,3d,,,,,,,,sign_crash1,,100,,,,,,,,,,,,,100,100,0.25,1
metal_creak,,SFX/Levels/Berlin_2/sign/metal_creak/metal_creak_02.wav,3,0.8,1,100,2500,,,,,full_vol,,,,,,,0.9,1.1,,3d,,,,,,,,sign_crash1,,100,,,,,,,,,,,,,100,100,0.25,1
metal_creak,,SFX/Levels/Berlin_2/sign/metal_creak/metal_creak_03.wav,4,0.8,1,100,2500,,,,,full_vol,,,,,,,0.9,1.1,,3d,,,,,,,,sign_crash1,,100,,,,,,,,,,,,,100,100,0.25,1
metal_creak,,SFX/Levels/Berlin_2/sign/metal_creak/metal_creak_04.wav,5,0.8,1,100,2500,,,,,full_vol,,,,,,,0.9,1.1,,3d,,,,,,,,sign_crash1,,100,,,,,,,,,,,,,100,100,0.25,1
metal_creak,,SFX/Levels/Berlin_2/sign/metal_creak/metal_creak_05.wav,6,0.8,1,100,2500,,,,,full_vol,,,,,,,0.9,1.1,,3d,,,,,,,,sign_crash1,,100,,,,,,,,,,,,,100,100,0.25,1

stone_break,,SFX/Levels/Berlin_2/sign/stone_break/stone_break_00.wav,1,0.8,1,100,2500,,,,,full_vol,,,,,,,0.9,1.1,,3d,,,,,,,,metal_creak,,200,,,,,,,,,,,,,100,100,0.25,1
stone_break,,SFX/Levels/Berlin_2/sign/stone_break/stone_break_01.wav,2,0.8,1,100,2500,,,,,full_vol,,,,,,,0.9,1.1,,3d,,,,,,,,metal_creak,,200,,,,,,,,,,,,,100,100,0.25,1
stone_break2,,SFX/Levels/Berlin_2/sign/stone_break/stone_break_00.wav,1,0.8,1,100,2500,,,,,full_vol,,,,,,,0.9,1.1,,3d,,,,,,,,,,200,,,,,,,,,,,,,100,100,0.25,1
