name,platform,mature,file,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,pitch_min,pitch_max,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold,doppler,isbig,subtitle
flak88_fire,,,SFX/Weapon/Cannons/model3/fire/fire_01.wav,2,0.9,1,5000,10000,,,,,hvy_wpn,,,,20000,,,1,1,,3d,,,,,,,,flak88_fire_R,,,,,,,,,0.2,,,no,left_player,4,75,100,0.5,0.8
flak88_fire_R,,,SFX/Weapon/Cannons/model3/fire/fire_02.wav,1,0.9,1,5000,10000,,,,,hvy_wpn,,,,20000,,,1,1,,3d,,,,,,,,,,,,,,,,,0.2,,,no,right_player,4,75,100,0.5,0.8
flak88_fire_R,,,SFX/Weapon/Cannons/model3/fire/fire_03.wav,2,0.9,1,5000,10000,,,,,hvy_wpn,,,,20000,,,1,1,,3d,,,,,,,,,,,,,,,,,0.2,,,no,right_player,4,75,100,0.5,0.8

fire_manager_0,,,SFX/Destruction/fires/dynamic/dyn_fire_00.wav,,1,1,500,1000,,,,,ambience,,,,850,,,1,1,,3d,,,looping,,,,pcm,,,,,,,,,,,,,,,,25,80,0.25,1
fire_manager_1,,,SFX/Destruction/fires/dynamic/dyn_fire_01.wav,,1,1,500,1000,,,,,ambience,,,,850,,,1,1,,3d,,,looping,,,,pcm,,,,,,,,,,,,,,,,25,80,0.25,1
fire_manager_2,,,SFX/Destruction/fires/dynamic/dyn_fire_02.wav,,1,1,500,1000,,,,,ambience,,,,850,,,1,1,,3d,,,looping,,,,pcm,,,,,,,,,,,,,,,,25,80,0.25,1
fire_manager_3,,,SFX/Destruction/fires/dynamic/dyn_fire_03.wav,,1,1,500,1000,,,,,ambience,,,,850,,,1,1,,3d,,,looping,,,,pcm,,,,,,,,,,,,,,,,25,80,0.25,1

shell_impact2d,,,SFX\Vehicles\impact\Imp_1p_tank_00.wav,1,1,1,250,300,,,1,reject,full_vol,,,,,,curve5,,,,3d,,,,,,,,tank_shell,,,wpn_all,0.5,,,,,0,,,no,,,25,80,0.25,1,,
shell_impact2d,,,SFX\Vehicles\impact\Imp_1p_tank_01.wav,2,1,1,250,300,,,1,reject,full_vol,,,,,,curve5,,,,3d,,,,,,,,tank_shell,,,wpn_all,0.5,,,,,0,,,no,,,25,80,0.25,1,,
shell_impact2d,,,SFX\Vehicles\impact\Imp_1p_tank_02.wav,3,1,1,250,300,,,1,reject,full_vol,,,,,,curve5,,,,3d,,,,,,,,tank_shell,,,wpn_all,0.5,,,,,0,,,no,,,25,80,0.25,1,,
tank_shell_metal,,,SFX\Vehicles\impact\3p\Imp_3p_tank_00.wav,,1,1,500,3000,,,1,reject,full_vol,,,,3500,,,0.8,1,,3d,,,,,,,,shell_impact2d,,,,,,,,,,,,,,,25,80,0.25,1,,
tank_shell_default,,,null.wav,,1,1,500,3000,,,1,reject,full_vol,,,,3500,,,0.8,1,,3d,,,,,,,,tank_shell,,,,,,,,,,,,,,,25,80,0.25,1,,

explosion_right,,,SFX\Levels\see1\barn\barn_R.wav,,0.9,1,500,7000,,,1,reject,full_vol,,curve2,,15000,,curve3,1,1,,3d,,,,,,,,,,,,,,,,,0,,yes,no,right_player,8,100,100,0.25,1,,
explosion,,,SFX\Levels\see1\barn\barn_L.wav,,0.9,1,500,7000,,,1,reject,full_vol,,curve2,,15000,,curve3,1,1,,3d,,,,,,,,explosion_right,,,,,,,,,0,,yes,no,left_player,8,100,100,0.25,1,,
flame_windowR,,,SFX\Levels\see2\bunker\bunker_flameR.wav,,0.9,1,500,7000,,,1,reject,full_vol,,curve2,,8000,,curve3,1,1,,3d,,,,,,,,,,,,,,,,,0,,yes,no,right_player,8,100,100,0.25,1,,
flame_window,,,SFX\Levels\see2\bunker\bunker_flameL.wav,,0.9,1,500,7000,,,1,reject,full_vol,,curve2,,8000,,curve3,1,1,,3d,,,,,,,,flame_windowR,,,,,,,,,0,,yes,no,left_player,8,100,100,0.25,1,,

radio_tower_fall,,,SFX\Levels\Makin\truck\tower\tower_collapse_alt.wav,,0.9,1,5000,20000,,,1,reject,full_vol,,,,,,,1,1,,3d,,,,,,,,,,,,,,,,,0,,,no,,,100,100,0.25,1,,
radio_tower_creek,,,SFX\Levels\Makin\truck\tower\tower_collapse.wav,,0.9,1,5000,20000,,,1,reject,full_vol,,,,,,,1,1,,3d,,,,,,,,,,,,,,,,,0,,,no,,,100,100,0.25,1,,

exp_hut_1,,,SFX\Destruction\Marquee_Explos\Explo_Storage.wav,,0.95,1,500,10000,,,1,reject,full_vol,,curve4,,15000,,curve2,0.9,1.1,,3d,,,,,,,,bunker_explo_sweet_l,,,,0.5,0.3,,,,0,,no,no,,,90,95,0.25,1,,yes
mak_metal_explo,,,SFX/Destruction/exp/barrel_##,,0.95,1,500,10000,,,1,reject,full_vol,,curve4,,15000,,curve2,0.9,1.1,,3d,,,,,,,,bunker_explo_sweet_l,,,,0.5,0.3,,,,0,,no,no,,,90,95,0.25,1,,yes
explo_metal_zero_final,,,SFX/Levels/pby_fly/exp/boat_explo_##,,0.85,0.95,5000,15000,,,1,reject,explosion,,curve4,,20000,,,0.9,1.05,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,60,100,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bunker_explo_sweet_l,,,SFX/Destruction/debris_sweet_##,,1,1,500,7000,3,oldest,1,reject,full_vol,,curve5,,10000,,,0.9,1,,3d,,,,,,,,bunker_explo_sweet_r,,50,,,,,,,0,,yes,,left_player,6,90,90,0.25,1,,yes
bunker_explo_sweet_r,,,SFX/Destruction/debris_sweet_##,,1,1,500,7000,3,oldest,1,reject,full_vol,,curve5,,10000,,,0.9,1,,3d,,,,,,,,bunker_explo_sweet_frag_l,,50,,,,,,,0,,yes,,right_player,6,90,90,0.25,1,,yes
bunker_explo_sweet_frag_l,,,SFX/Destruction/frag_by_##,,1,1,500,7000,3,oldest,1,reject,full_vol,,curve5,,10000,,,0.9,1,,3d,,,,,,,,bunker_explo_sweet_frag_r,,50,,,,,,,0,,yes,,left_player,6,90,90,0.25,1,,yes
bunker_explo_sweet_frag_r,,,SFX/Destruction/frag_by_##,,1,1,500,7000,3,oldest,1,reject,full_vol,,curve5,,10000,,,0.9,1,,3d,,,,,,,,explo_explode_trail_l,,50,,,,,,,0,,yes,,right_player,6,90,90,0.25,1,,yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explo_explode_trail_l,,,SFX/Weapon/Gren/Gen_Gren/gren_trail_##,,0.4,0.6,500,2000,3,oldest,,,explosion,,curve5,,10000,,,0.9,1,,3d,,,,,,,,explo_explode_trail_r,,50,,,,,,,0,,yes,,left_player,6,90,90,0.25,1,,yes
explo_explode_trail_r,,,SFX/Weapon/Gren/Gen_Gren/gren_trail_##,,0.4,0.6,500,2000,3,oldest,,,explosion,,curve5,,10000,,,0.9,1,,3d,,,,,,,,explo_explode_dist,,50,,,,,,,0,,yes,,right_player,6,90,90,0.25,1,,yes
explo_explode_dist,,,SFX/Destruction/explosion_dist_##,,0.9,1,3000,12000,3,oldest,,,explosion,,curve5,,13000,,,0.9,1.1,,3d,,,,,,,,explo_explode_distR,,,,0.4,,,,,0,,yes,,left_player,6,40,60,0.55,1,,yes
explo_explode_distR,,,SFX/Destruction/explosion_dist_##,,0.9,1,3000,12000,3,oldest,,,explosion,,curve5,,13000,,,0.9,1.1,,3d,,,,,,,,,,,,0.4,,,,,0,,yes,,right_player,6,40,60,0.55,1,,yes
impact_wood_metal_crate,,,SFX\Levels\see2\see2_physics_##,,1,1,200,750,,,,,explosion,,,,5000,,,0.9,1.1,,3d,,,,,,,,,,,,,,,,,0,,,,,,5,10,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_chug,,,SFX\Levels\see2\train\train_chug.wav,,0.7,0.7,2000,3000,,,,,full_vol,,curve5,1,5000,,,1,1,,3d,,,looping,0.7,,,pcm,,,,,,,,,,0,,no,no,,,100,100,0.25,1,,
train_whistle,,,SFX\Levels\see2\train\train_whistle.wav,,1,1,2000,3000,,,,,full_vol,,curve5,1,5000,,,1,1,,3d,,,,,,,pcm,,,,,,,,,,0,,no,no,,,100,100,0.25,1,,
hand_grab,,,SFX\Levels\see1\intro\hand_grab.wav,,0.5,0.5,,,,,,,full_vol,,,,,,,,,,2d,,,,,,,,,,,wpn_fnt,0.5,,,,,0,,,no,,,100,100,0.25,1,,
rifle_handle,,,SFX\Levels\see1\intro\rifle_toss.wav,1,0.3,0.3,500,2500,,,,,full_vol,,,1,5000,,,,,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,75,90,0.25,1,,,
rifle_handle,,,SFX\Levels\see1\intro\rifle_toss2.wav,2,0.3,0.3,500,2500,,,,,full_vol,,,1,5000,,,,,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,75,90,0.25,1,,,
rifle_handle,,,SFX\Levels\see1\intro\rifle_toss3.wav,3,0.3,0.3,500,2500,,,,,full_vol,,,1,5000,,,,,,3d,,,,,,,,,,,,,,,,,0,,no,no,,,75,90,0.25,1,,,
#Dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See2_IGD_000A_COMM,,,voiceovers\see2\mast\See2_IGD_000A_COMM.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_000A_COMM
See2_IGD_001A_COMM,,,voiceovers\see2\mast\See2_IGD_001A_COMM.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_001A_COMM
See2_IGD_100A_COMM,,,voiceovers\see2\mast\See2_IGD_100A_COMM.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_100A_COMM
See2_IGD_101A_COMM,,,voiceovers\see2\mast\See2_IGD_101A_COMM.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_101A_COMM
See2_IGD_002A_REZN,,,voiceovers\see2\mast\See2_IGD_002A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_002A_REZN
See2_IGD_003A_REZN,,,voiceovers\see2\mast\See2_IGD_003A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_003A_REZN
See2_IGD_004A_REZN,,,voiceovers\see2\mast\See2_IGD_004A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_004A_REZN
See2_IGD_005A_REZN,,,voiceovers\see2\mast\See2_IGD_005A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_005A_REZN
See2_IGD_006A_REZN,,,voiceovers\see2\mast\See2_IGD_006A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_006A_REZN
See2_IGD_007A_REZN,,,voiceovers\see2\mast\See2_IGD_007A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_007A_REZN
See2_IGD_007B_REZN,,,voiceovers\see2\mast\See2_IGD_007B_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_007B_REZN
See2_IGD_008A_REZN,,,voiceovers\see2\mast\See2_IGD_008A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_008A_REZN
See2_IGD_009A_REZN,,,voiceovers\see2\mast\See2_IGD_009A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_009A_REZN
See2_IGD_010A_REZN,,,voiceovers\see2\mast\See2_IGD_010A_REZN_A.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_010A_REZN_A
See2_IGD_011A_REZN,,,voiceovers\see2\mast\See2_IGD_011A_REZN_A.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_011A_REZN_A
See2_IGD_012A_REZN,,,voiceovers\see2\mast\See2_IGD_012A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_012A_REZN
See2_IGD_013A_REZN,,,voiceovers\see2\mast\See2_IGD_013A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_013A_REZN
See2_IGD_014A_REZN,,,voiceovers\see2\mast\See2_IGD_014A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_014A_REZN
See2_IGD_015A_REZN,,,voiceovers\see2\mast\See2_IGD_015A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_015A_REZN
See2_IGD_016A_REZN,,,voiceovers\see2\mast\See2_IGD_016A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_016A_REZN
See2_IGD_017A_REZN,,,voiceovers\see2\mast\See2_IGD_017A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_017A_REZN
See2_IGD_017B_REZN,,,voiceovers\see2\mast\See2_IGD_017B_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_017B_REZN
See2_IGD_018A_REZN,,,voiceovers\see2\mast\See2_IGD_018A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_018A_REZN
See2_IGD_019A_REZN,,,voiceovers\see2\mast\See2_IGD_019A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_019A_REZN
See2_IGD_020A_COMM,,,voiceovers\see2\mast\See2_IGD_020A_COMM.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_020A_COMM
See2_IGD_020B_COMM,,,voiceovers\see2\mast\See2_IGD_020B_COMM.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_020B_COMM
See2_IGD_021A_REZN,,,voiceovers\see2\mast\See2_IGD_021A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_021A_REZN
See2_IGD_022A_REZN,,,voiceovers\see2\mast\See2_IGD_022A_REZN_A.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_022A_REZN_A
See2_IGD_023A_REZN,,,voiceovers\see2\mast\See2_IGD_023A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_023A_REZN
See2_IGD_024A_REZN,,,voiceovers\see2\mast\See2_IGD_024A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_024A_REZN
See2_IGD_025A_REZN,,,voiceovers\see2\mast\See2_IGD_025A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_025A_REZN
See2_IGD_025B_REZN,,,voiceovers\see2\mast\See2_IGD_025B_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_025B_REZN
See2_IGD_026A_REZN,,,voiceovers\see2\mast\See2_IGD_026A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_026A_REZN
See2_IGD_026B_REZN,,,voiceovers\see2\mast\See2_IGD_026B_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_026B_REZN
See2_IGD_027A_REZN,,,voiceovers\see2\mast\See2_IGD_027A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_027A_REZN
See2_IGD_028A_REZN,,,voiceovers\see2\mast\See2_IGD_028A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_028A_REZN
See2_IGD_029A_REZN,,,voiceovers\see2\mast\See2_IGD_029A_REZN_A.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_029A_REZN_A
See2_IGD_030A_REZN,,,voiceovers\see2\mast\See2_IGD_030A_REZN.wav,,1,1,250,1000,1,reject,,,voice,,curve4,0.25,,,,1,1,,2d,streamed,,,,,,,,,,wpn_fnt,,1,,,,,,no,no,,,100,100,0.25,1,,,SUBTITLE_See2_IGD_030A_REZN
