name,sequence,file,platform,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,priority,spatialized,type,probability,loop,masterslave,loadspec,reverb_falloff_curve,subtitle,compression,randomize_type,secondaryaliasname,chainaliasname,volumefalloffcurve,startdelay,speakermap,reverb_send,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,occlusion_level,min_priority,max_priority,min_priority_threshold,max_priority_threshold
wood_creak,,sfx/amb/wood_creak_##,!wii,0.5,0.8,0.9,1.05,100,400,1200,,,,,ambience,60,3d,,0.4,,,,curve4,,,,,,curve3,,,,,,,,,,0,20,60,0.2,1
#fake_fire,,sfx/amb/fake_fire/interrior_##,!wii,0.4,0.8,0.95,1.05,200,1200,1500,,,,,ambience,60,3d,,,,,,curve3,,,,,,curve3,,,,,,,,,,0.2,20,60,0.2,1
dist_artillery,,sfx/destruction/explosion_occluded_##,!wii,0.3,0.7,0.95,1.05,200,1800,2000,,,,,ambience,60,3d,,,,,,curve3,,,,,,curve3,,,,,,,,,,0.2,20,60,0.2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window_rattle,,sfx/levels/mp_subway/window_rattle_##,!wii,0.2,0.4,0.95,1.05,200,1000,1200,,,,,ambience,60,3d,,,,,,curve3,,,,,,curve3,,,,,,,,,,0.5,20,60,0.2,1

#steam_loop,,sfx/levels/ber3b/pipes/steam_loop.wav,!wii,0.1,0.1,1,1,25,150,175,3,oldest,,,ambience,60,3d,,,looping,,,curve3,,,,,,curve3,,,,,,,,,,0,20,60,0.2,1
steam_loop,,sfx/levels/ber3b/pipes/water_loop.wav,!wii,0.1,0.1,1,1,25,300,400,,,,,ambience,60,3d,,,looping,,,curve3,,,,,,curve3,,,,,,,,,,0.5,20,60,0.2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceiling_dust,,sfx/amb/debris/ceiling_dust_##,!wii,0.1,0.3,0.9,1.05,20,100,800,,,,,ambience,60,3d,,,,,,curve4,,,,,,curve3,,,1,,,,,,,0.3,20,60,0.2,1

russian_chant,,sfx/levels/mp_dome/russian_chant.wav,!wii,0.3,0.3,1,1,200,800,1000,,,,,ambience,60,3d,,,looping,,,curve3,,,,,,curve3,,,0.8,,,,,,,0.2,20,60,0.2,1
russian_chant_delay,,sfx/levels/mp_dome/russian_chant.wav,!wii,0.2,0.2,1,1,200,800,1000,,,,,ambience,60,3d,,,looping,,,curve3,,,,,,curve3,250,,0.8,,,,,,,0.2,20,60,0.2,1,,

speech_1,,voiceovers\vfx\speech\speech_01.wav,!wii,0.45,0.45,,,500,1000,1400,,,,,ambience,60,3d,,,looping,,,curve3,,,,,,curve3,,,,,,,,,,0.2,100,100,0.25,1,,
speech_2,,voiceovers\vfx\speech\speech_01.wav,!wii,0.35,0.35,,,500,1000,1400,,,,,ambience,60,3d,,,looping,,,curve3,,,,,,curve3,500,,,,,,,,,0.2,100,100,0.25,1,,

raven,,sfx/amb/animals/raven_##,!wii,0.4,0.65,0.95,1.05,100,1800,2200,,,,,ambience,60,3d,,0.7,,,,curve3,,,,,,curve3,,,1,,,,,,,0.4,20,60,0.2,1,,
thunder,1,sfx/amb/thunder_distant/thunder_distant_00.wav,!wii,0.6,0.9,0.95,1.05,200,2500,3500,,,,,ambience,60,3d,,,,,,curve3,,,,,,curve3,,,1,,,,,,,0.4,20,60,0.2,1,,
thunder,2,sfx/amb/thunder_distant/thunder_distant_01.wav,!wii,0.6,0.9,0.95,1.05,200,2500,3500,,,,,ambience,60,3d,,,,,,curve3,,,,,,curve3,,,1,,,,,,,0.4,20,60,0.2,1,,
thunder,3,sfx/amb/thunder_distant/thunder_distant_02.wav,!wii,0.6,0.9,0.95,1.05,200,2500,3500,,,,,ambience,60,3d,,,,,,curve3,,,,,,curve3,,,1,,,,,,,0.4,20,60,0.2,1,,
light,,null.wav,!wii,0.25,0.3,0.95,1.05,50,300,500,,,,,ambience,50,3d,,,looping,,,curve2,,,pitch,,,curve2,,,,,,,,,,0.25,30,50,0.1,0.9,,

# For Wii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#courtyard_indoor,,sfx/levles/mp_castle_indoor.wav,wii,1,1,,,,,,,,,,ambience,,2d,streamed,,looping,,,,,,,,,,,,,,,,,,,,,,,,60,60
#courtyard_outdoor,,sfx/levles/mp_castle_outdoor.wav,wii,1,1,,,,,,,,,,ambience,,2d,streamed,,looping,,,,,,,,,,,,,,,,,,,,,,,,60,60
