name,sequence,file,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,reverb_min_falloff_curve,reverb_falloff_curve,randomize_type,priority,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold
US_0_landmark_castle_area2,1,battlechatter/us/0/mp/US_0_landmark_castle_area2_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_castle_area3,1,battlechatter/us/0/mp/US_0_landmark_castle_area3_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_castle_area4,1,battlechatter/us/0/mp/US_0_landmark_castle_area4_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_castle_area5,1,battlechatter/us/0/mp/US_0_landmark_castle_area5_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_castle_area6,1,battlechatter/us/0/mp/US_0_landmark_castle_area6_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_castle_area7,1,battlechatter/us/0/mp/US_0_landmark_castle_area7_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_castle_area8,1,battlechatter/us/0/mp/US_0_landmark_castle_area8_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_courtyard_area1,1,battlechatter/us/0/mp/US_0_landmark_courtyard_area1_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_courtyard_area2,1,battlechatter/us/0/mp/US_0_landmark_courtyard_area2_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_courtyard_area3,1,battlechatter/us/0/mp/US_0_landmark_courtyard_area3_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_courtyard_area4,1,battlechatter/us/0/mp/US_0_landmark_courtyard_area4_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_hangar_area1,1,battlechatter/us/0/mp/US_0_landmark_hangar_area1_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_hangar_area2,1,battlechatter/us/0/mp/US_0_landmark_hangar_area2_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_hangar_area3,1,battlechatter/us/0/mp/US_0_landmark_hangar_area3_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_hangar_area4,1,battlechatter/us/0/mp/US_0_landmark_hangar_area4_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_hangar_area5,1,battlechatter/us/0/mp/US_0_landmark_hangar_area5_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_hangar_area6,1,battlechatter/us/0/mp/US_0_landmark_hangar_area6_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_hangar_area7,1,battlechatter/us/0/mp/US_0_landmark_hangar_area7_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_hangar_area8,1,battlechatter/us/0/mp/US_0_landmark_hangar_area8_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_hangar_area9,1,battlechatter/us/0/mp/US_0_landmark_hangar_area9_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_hangar_area10,1,battlechatter/us/0/mp/US_0_landmark_hangar_area10_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_makin_area1,1,battlechatter/us/0/mp/US_0_landmark_makin_area1_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_makin_area2,1,battlechatter/us/0/mp/US_0_landmark_makin_area2_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_makin_area3,1,battlechatter/us/0/mp/US_0_landmark_makin_area3_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_makin_area4,1,battlechatter/us/0/mp/US_0_landmark_makin_area4_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_makin_area5,1,battlechatter/us/0/mp/US_0_landmark_makin_area5_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_makin_area6,1,battlechatter/us/0/mp/US_0_landmark_makin_area6_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_makin_area7,1,battlechatter/us/0/mp/US_0_landmark_makin_area7_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_makin_area8,1,battlechatter/us/0/mp/US_0_landmark_makin_area8_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_makin_area9,1,battlechatter/us/0/mp/US_0_landmark_makin_area9_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_makin_area10,1,battlechatter/us/0/mp/US_0_landmark_makin_area10_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_shrine_area1,1,battlechatter/us/0/mp/US_0_landmark_shrine_area1_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_shrine_area2,1,battlechatter/us/0/mp/US_0_landmark_shrine_area2_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_shrine_area3,1,battlechatter/us/0/mp/US_0_landmark_shrine_area3_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_shrine_area4,1,battlechatter/us/0/mp/US_0_landmark_shrine_area4_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_shrine_area5,1,battlechatter/us/0/mp/US_0_landmark_shrine_area5_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_shrine_area6,1,battlechatter/us/0/mp/US_0_landmark_shrine_area6_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_landmark_shrine_area7,1,battlechatter/us/0/mp/US_0_landmark_shrine_area7_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,all_mp,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_taunt_killstreak_5friendly,1,battlechatter/us/0/mp/US_0_taunt_killstreak_5friendly_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_taunt_killstreak_5friendly,2,battlechatter/us/0/mp/US_0_taunt_killstreak_5friendly_01.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_taunt_killstreak_5friendly,3,battlechatter/us/0/mp/US_0_taunt_killstreak_5friendly_02.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_taunt_killstreak_5friendly,4,battlechatter/us/0/mp/US_0_taunt_killstreak_5friendly_03.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_taunt_killstreak_10friendly,1,battlechatter/us/0/mp/US_0_taunt_killstreak_10friendly_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_taunt_killstreak_10friendly,2,battlechatter/us/0/mp/US_0_taunt_killstreak_10friendly_01.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_taunt_killstreak_10friendly,3,battlechatter/us/0/mp/US_0_taunt_killstreak_10friendly_02.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_taunt_killstreak_15friendly,1,battlechatter/us/0/mp/US_0_taunt_killstreak_15friendly_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_taunt_killstreak_15friendly,2,battlechatter/us/0/mp/US_0_taunt_killstreak_15friendly_01.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_taunt_kill_killstreak,1,battlechatter/us/0/mp/US_0_taunt_kill_killstreak_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_taunt_kill_killstreak,2,battlechatter/us/0/mp/US_0_taunt_kill_killstreak_01.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_taunt_kill_killstreak,3,battlechatter/us/0/mp/US_0_taunt_kill_killstreak_02.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_killstreak_enemy_recon,1,battlechatter/us/0/mp/US_0_killstreak_enemy_recon_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_killstreak_enemy_recon,2,battlechatter/us/0/mp/US_0_killstreak_enemy_recon_01.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_killstreak_enemy_recon,3,battlechatter/us/0/mp/US_0_killstreak_enemy_recon_02.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_killstreak_enemy_artillery,1,battlechatter/us/0/mp/US_0_killstreak_enemy_artillery_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_killstreak_enemy_artillery,2,battlechatter/us/0/mp/US_0_killstreak_enemy_artillery_01.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_killstreak_enemy_artillery,3,battlechatter/us/0/mp/US_0_killstreak_enemy_artillery_02.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_killstreak_enemy_dogs,1,battlechatter/us/0/mp/US_0_killstreak_enemy_dogs_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_killstreak_enemy_dogs,2,battlechatter/us/0/mp/US_0_killstreak_enemy_dogs_01.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_killstreak_enemy_dogs,3,battlechatter/us/0/mp/US_0_killstreak_enemy_dogs_02.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_killstreak_enemy_fourth,1,battlechatter/us/0/mp/US_0_killstreak_enemy_fourth_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_killstreak_enemy_fourth,2,battlechatter/us/0/mp/US_0_killstreak_enemy_fourth_01.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_killstreak_enemy_fourth,3,battlechatter/us/0/mp/US_0_killstreak_enemy_fourth_02.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_perk_loadout_juggernaut,1,battlechatter/us/0/mp/US_0_perk_loadout_juggernaut_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_perk_loadout_juggernaut,2,battlechatter/us/0/mp/US_0_perk_loadout_juggernaut_01.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_perk_loadout_juggernaut,3,battlechatter/us/0/mp/US_0_perk_loadout_juggernaut_02.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_perk_loadout_deepimpact,1,battlechatter/us/0/mp/US_0_perk_loadout_deepimpact_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_perk_loadout_deepimpact,2,battlechatter/us/0/mp/US_0_perk_loadout_deepimpact_01.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_perk_loadout_deepimpact,3,battlechatter/us/0/mp/US_0_perk_loadout_deepimpact_02.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_destructible_near_barrel,1,battlechatter/us/0/mp/US_0_destructible_near_barrel_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_destructible_near_barrel,2,battlechatter/us/0/mp/US_0_destructible_near_barrel_01.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_destructible_near_barrel,3,battlechatter/us/0/mp/US_0_destructible_near_barrel_02.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_destructible_near_car,1,battlechatter/us/0/mp/US_0_destructible_near_car_00.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
US_0_destructible_near_car,2,battlechatter/us/0/mp/US_0_destructible_near_car_01.wav,0.95,0.95,1,1,400,2800,3200,1,reject,,,voice,,,,,,,60,3d,streamed,,,0.7,mp_airfield  mp_beachhead mp_castle mp_courtyard mp_hangar mp_kneedeep mp_makin mp_shrine,,,,,,,,,,,,,,,,,,,,,10,50,0.25,1
